File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TEST FREQUENCY L;DCR MAX. (Ω);RATED DC CURRENT (A) (1)
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER1R0M;1.0;7.96 MHz;0.033;3.80
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER1R4M;1.4;7.96 MHz;0.038;3.30
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER1R8M;1.8;7.96 MHz;0.042;2.91
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER2R2M;2.2;7.96 MHz;0.047;2.60
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER2R7M;2.7;7.96 MHz;0.052;2.43
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER3R3M;3.3;7.96 MHz;0.058;2.15
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER3R9M;3.9;7.96 MHz;0.076;1.98
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER4R7M;4.7;7.96 MHz;0.094;1.70
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER5R6M;5.6;7.96 MHz;0.101;1.60
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER6R8M;6.8;7.96 MHz;0.117;1.41
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER8R2M;8.2;7.96 MHz;0.132;1.26
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER100M;10.0;2.52 MHz;0.182;1.15
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER120M;12.0;2.52 MHz;0.210;1.05
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER150M;15.0;2.52 MHz;0.235;0.92
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER180M;18.0;2.52 MHz;0.338;0.84
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER220M;22.0;2.52 MHz;0.378;0.76
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER270M;27.0;2.52 MHz;0.522;0.71
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER330M;33.0;2.52 MHz;0.540;0.64
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER390M;39.0;2.52 MHz;0.587;0.59
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER470M;47.0;2.52 MHz;0.844;0.54
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER560M;56.0;2.52 MHz;0.937;0.50
IDCP-1813;image/small_inductors/34094.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP1813ER680M;68.0;2.52 MHz;1.117;0.46
