File Name,Description,PART NUMBER,"INDUCTANCE
(μH)","TEST
FREQUENCY
L","DCR MAX.
(Ω)","RATED DC
CURRENT
(A) (1)"
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER100M,10.0,"2,52 MHz",0.1,1.44
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER120M,12.0,"2,52 MHz",0.12,1.4
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER150M,15.0,"2,52 MHz",0.14,1.3
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER180M,18.0,"2,52 MHz",0.15,1.23
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER220M,22.0,"2,52 MHz",0.18,1.11
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER270M,27.0,"2,52 MHz",0.2,0.97
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER330M,33.0,"2,52 MHz",0.23,0.88
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER390M,39.0,"2,52 MHz",0.32,0.8
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER470M,47.0,"2,52 MHz",0.37,0.72
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER560M,56.0,"2,52 MHz",0.42,0.68
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER680M,68.0,"2,52 MHz",0.46,0.61
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER820M,82.0,"2,52 MHz",0.6,0.58
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER101M,100.0,1 kHz,0.7,0.52
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER121M,120.0,1 kHz,0.93,0.48
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER151M,150.0,1 kHz,1.1,0.4
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER181M,180.0,1 kHz,1.38,0.38
IDCP-2218,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Non-Shielded
FEATURES
• High energy storage
• Low resistance",IDCP2218ER221M,220.0,1 kHz,1.57,0.35
