File Name,Description,PART NUMBER,INDUCTANCE (μH),TOLERANCE,TEST FREQUENCY L (kHz),DCR MAX. (),RATED DC CURRENT (A) (1)
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER1R0M,1.0,± 20 %,100.0,0.04,3.0
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER1R5M,1.5,± 20 %,100.0,0.045,2.8
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER2R2M,2.2,± 20 %,100.0,0.05,1.8
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER3R3M,3.3,± 20 %,100.0,0.055,1.6
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER4R7M,4.7,± 20 %,100.0,0.06,1.4
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER6R8M,6.8,± 20 %,100.0,0.065,1.2
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER100M,10.0,± 20 %,100.0,0.075,1.0
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER150M,15.0,± 20 %,100.0,0.09,0.8
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER220M,22.0,± 20 %,100.0,0.11,0.7
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER330M,33.0,± 20 %,100.0,0.19,0.6
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER470M,47.0,± 20 %,100.0,0.23,0.5
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER680M,68.0,± 20 %,100.0,0.29,0.4
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER101M,100.0,± 20 %,100.0,0.48,0.3
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER151M,150.0,± 20 %,100.0,0.59,0.26
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER221M,220.0,± 20 %,100.0,0.9,0.22
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER331M,330.0,± 20 %,100.0,1.4,0.2
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER471M,470.0,± 20 %,100.0,1.8,0.19
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER681M,680.0,± 20 %,100.0,2.2,0.18
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER102M,1000.0,± 20 %,100.0,3.4,0.15
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER152M,1500.0,± 20 %,100.0,4.2,0.12
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER222M,2200.0,± 20 %,100.0,8.5,0.1
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER332M,3300.0,± 20 %,100.0,11.0,0.08
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER472M,4700.0,± 20 %,100.0,13.9,0.06
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER682M,6800.0,± 20 %,100.0,25.0,0.04
IDCS-2512,"www.vishay.com Vishay Dale
High Current, Surface Mount Inductors - Shielded
FEATURES
• High energy storage
• Low resistance",IDCS2512ER000M,10 000,± 20 %,100.0,32.8,0.02
