File Name,Description,PART NUMBER,"L INDUCTANCE
0
AT 0 A
(μH)","DCR TYP.
25 °C
(mΩ)","DCR MAX.
25 °C
(mΩ)","HEAT RATING
CURRENT
DC TYP.
(A) (1)","SATURATION CURRENT
DC TYP.
(A) (2)",,"SRF TY
(MHz"
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",,,,,,20 % DROP,30 % DROP,
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER3R3N,3.3,11.0,13.0,10.3,7.8,14.0,35.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER4R7N,4.7,13.0,16.0,10.1,6.8,13.0,30.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER6R1N,6.1,16.0,18.0,9.6,6.6,11.0,24.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER6R8N,6.8,18.0,23.0,8.7,6.4,10.0,21.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER100M,10.0,20.0,25.0,7.8,5.4,8.4,17.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER150M,15.0,23.0,27.0,7.1,4.5,6.8,13.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER180M,18.0,30.0,39.0,6.6,3.9,6.7,12.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER220M,22.0,40.0,43.0,6.3,3.6,5.8,11.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER270M,27.0,44.0,46.0,5.7,3.4,5.4,10.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER330M,33.0,60.0,65.0,5.1,3.0,4.8,9.5
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER390M,39.0,69.0,73.0,4.5,2.75,4.4,8.5
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER470M,47.0,80.0,100.0,4.1,2.5,4.1,7.5
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER560M,56.0,105.0,110.0,3.6,2.35,3.6,7.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER680M,68.0,132.0,140.0,3.2,2.1,3.4,6.5
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER820M,82.0,150.0,160.0,2.95,1.95,2.86,5.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER101M,100.0,165.0,220.0,2.6,1.7,2.7,4.5
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER121M,120.0,200.0,250.0,2.4,1.6,2.6,4.3
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER151M,150.0,240.0,280.0,2.15,1.42,2.15,4.1
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER181M,180.0,300.0,350.0,1.9,1.3,2.05,4.0
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER221M,220.0,320.0,390.0,1.75,1.16,1.9,3.4
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER271M,270.0,400.0,560.0,1.6,1.06,1.6,3.1
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER331M,330.0,560.0,640.0,1.5,0.95,1.45,2.9
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER391M,390.0,620.0,700.0,1.4,0.88,1.4,2.7
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER471M,470.0,755.0,980.0,1.25,0.79,1.3,2.2
IFDC-5050HZ,"www.vishay.com Vishay Dale
Shielded SMD Power Inductor
FEATURES
• 12.3 mm x 12.3 mm x 8.0 mm SMD package
• Shielded ferrite construction",IFDC5050HZER561M,560.0,876.0,1070.0,1.1,0.73,1.12,2.0
