File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. I DC (A) (1);SATURATION CURRENT DC TY I SAT (A) (2)
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER0R47M01;0.47;15;18;5.5;5.70
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER0R56M01;0.56;17;22;5.40;5.60
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER0R68M01;0.68;19;25;5.00;5.50
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER1R0M01;1.0;20;25;4.30;3.85
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER1R2M01;1.2;25;30;3.80;3.70
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER1R5M01;1.5;33;40;3.40;3.60
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER1R8M01;1.8;34;41;3.20;3.20
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER2R2M01;2.2;35;45;3.10;3.10
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER3R3M01;3.3;45;56;2.75;2.45
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER4R7M01;4.7;69;89;2.30;2.05
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER6R8M01;6.8;90;115;2.10;1.75
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER8R2M01;8.2;105;132;1.80;1.65
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER100M01;10.0;134;169;1.50;1.55
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER150M01;15.0;185;222;1.45;1.10
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER220M01;22.0;250;315;1.20;0.95
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER330M01;33.0;405;486;0.90;0.70
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER470M01;47.0;495;594;0.80;0.58
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER680M01;68.0;885;1062;0.58;0.48
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER101M01;100.0;1545;1854;0.52;0.46
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER221M01;220.0;3150;3780;0.30;0.33
IFSC-1515AH-01;image/small_inductors/34295.png;Low Profile, Shielded Ferrite Power Inductors;IFSC1515AHER331M01;330.0;4200;5040;0.29;0.26
