File Name,Description,"IND. AT DCR
TOL. I I
1 kHz, 1 V MAX. RMS SAT
(%) (A) (A)
(μH) ()",,,,,,,,,,,,,,,,
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1.0,± 15,0.009,5.3,7.0,± 15,0.009,5.3,7.0,± 15,0.009,5.3,7.0,± 15,0.009,5.3,7.0
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1.2,± 15,0.01,5.0,6.4,± 15,0.01,5.0,6.4,± 15,0.01,5.0,6.4,± 15,0.01,5.0,6.4
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1.5,± 15,0.011,4.8,5.7,± 15,0.011,4.8,5.7,± 15,0.011,4.8,5.7,± 15,0.011,4.8,5.7
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1.8,± 15,0.012,4.6,5.2,± 15,0.012,4.6,5.2,± 15,0.012,4.6,5.2,± 15,0.012,4.6,5.2
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",2.2,± 15,0.013,4.4,4.7,± 15,0.013,4.4,4.7,± 15,0.013,4.4,4.7,± 15,0.013,4.4,4.7
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",2.7,± 15,0.014,4.2,4.3,± 15,0.014,4.2,4.3,± 15,0.014,4.2,4.3,± 15,0.014,4.2,4.3
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",3.3,± 15,0.016,4.0,3.9,± 15,0.016,4.0,3.9,± 15,0.016,4.0,3.9,± 15,0.016,4.0,3.9
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",3.9,± 15,0.17,3.8,3.6,± 15,0.17,3.8,3.6,± 15,0.17,3.8,3.6,± 15,0.17,3.8,3.6
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",4.7,± 15,0.022,3.4,3.3,± 15,0.022,3.4,3.3,± 15,0.022,3.4,3.3,± 15,0.022,3.4,3.3
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",5.6,± 15,0.024,3.2,3.0,± 15,0.024,3.2,3.0,± 15,0.024,3.2,3.0,± 15,0.024,3.2,3.0
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",6.8,± 15,0.026,3.1,2.7,± 15,0.026,3.1,2.7,± 15,0.026,3.1,2.7,± 15,0.026,3.1,2.7
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",8.2,± 15,0.028,3.0,2.5,± 15,0.028,3.0,2.5,± 15,0.028,3.0,2.5,± 15,0.028,3.0,2.5
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",10.0,± 15,0.033,2.8,2.3,± 15,0.033,2.8,2.3,± 15,0.033,2.8,2.3,± 15,0.033,2.8,2.3
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",12.0,± 15,0.037,2.6,2.1,± 15,0.037,2.6,2.1,± 15,0.037,2.6,2.1,± 15,0.037,2.6,2.1
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",15.0,± 15,0.04,2.5,1.9,± 15,0.04,2.5,1.9,± 15,0.04,2.5,1.9,± 15,0.04,2.5,1.9
