File Name;Image Path;Description;PART NUMBER;IND. AT 1 kHz, 1 V (μH);TOL. (%);DCR MAX. ();I RMS (A);I SAT (A)
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER3R9M;3.9;± 15;0.007;4.00;8.20
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER4R7M;4.7;± 15;0.008;4.00;7.50
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER5R6M;5.6;± 15;0.011;4.00;6.90
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER6R8M;6.8;± 15;0.011;4.00;6.30
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER8R2M;8.2;± 15;0.013;4.00;5.70
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER100M;10;± 15;0.016;4.00;5.20
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER120M;12;± 15;0.018;4.00;4.70
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER150M;15;± 15;0.020;4.00;4.30
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER180M;18;± 15;0.022;4.00;3.90
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER220M;22;± 15;0.024;4.00;3.50
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER270M;27;± 15;0.025;4.00;3.20
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER330M;33;± 15;0.028;4.00;2.90
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER390M;39;± 15;0.031;4.00;2.70
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER470M;47;± 15;0.034;4.00;2.50
IHD-4;image/small_inductors/34182.png;Choke Coil, Axial Leaded;IHD4ER560M;56;± 15;0.043;3.20;2.30
