File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR AT 25 °C;MAX. (mΩ);HEAT RATING CURRENT DC TYP. (1) (A);SATURATION CURRENT DC;TYP. (3) (A);SRF TYP. (MHZ);DIMENSIO;B ± [m
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER000Mx0;;TYP. (mΩ);MAX. (mΩ);;TYP. (2) (A);TYP. (3) (A);;A ± 0.4 [mm];B ± [m
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER000Mx0;;;;;;;;;
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER1R3Mx0;1.3;0.40;0.48;84;201;259;95;2.6;14.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER2R2Mx0;2.2;0.63;0.70;63;158;204;69;2.0;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER3R0Mx0;3.0;0.86;0.95;57;131;169;48;1.8;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER4R3Mx0;4.3;1.00;1.15;51;110;142;37;1.6;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER5R6Mx0;5.6;1.35;1.50;45;97;125;34;1.4;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER6R8Mx0;6.8;1.70;2.00;37;85;110;30;1.2;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER000Mx0;;;;;;;;;
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER1R2Mx0;1.2;0.25;0.30;100;157;205;91;3.2;13.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER2R2Mx0;2.2;0.40;0.48;85;132;168;70;2.6;14.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER3R3Mx0;3.3;0.63;0.70;70;90;116;43;2.0;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER4R7Mx0;4.7;0.86;0.95;62;78;100;35;1.8;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER6R8Mx0;6.8;1.00;1.15;55;64;83;29;1.6;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER8R2Mx0;8.2;1.35;1.50;48;56;71;24;1.4;15.
IHDM-1008BC-x0;image/small_inductors/34522.png;High Current, Through-Hole Inductor;IHDM1008BCER100Mx0;10;1.70;2.00;40;53;68;22;1.2;15.
