File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R19M11;0.19;0.70;0.80;40;46
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R22M11;0.22;0.85;0.95;33;44
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R24M11;0.24;0.85;0.95;33;44
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R36M11;0.36;1.05;1.15;32;30
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R47M11;0.47;1.53;1.68;30;30
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R56M11;0.56;1.61;1.80;32;22
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER0R78M11;0.78;1.80;1.90;27;22
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER1R0M11;1.0;2.30;2.50;25;20
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER1R8M11;1.8;4.50;5.00;17;16
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER2R0M11;2.0;5.20;5.80;16;14
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER4R7M11;4.7;12.9;14.2;9.5;7.6
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER6R8M11;6.8;17.5;19.3;9.0;7.5
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER100M11;10;27.8;30.5;7.5;7.1
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER150M11;15;40.9;45.0;6.25;6.0
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER180M11;18;46.40;51.90;5.6;4.6
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER220M11;22;60.4;66.0;5.0;4.5
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER330M11;33;87.5;94.5;4.4;4.0
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER470M11;47;132.0;145.0;3.3;3.0
IHLP-4040DZ-11;image/small_inductors/34192.png;IHLP® Commercial Inductors, Low DCR Series;IHLP4040DZER101M11;100;249.0;270.0;2.5;2.25
