File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R19M1A;0.19;0.70;0.80;40;46
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R24M1A;0.24;0.85;0.95;33;44
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R36M1A;0.36;1.05;1.15;32;30
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R47M1A;0.47;1.53;1.68;30;30
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R56M1A;0.56;1.60;1.80;32;22
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER0R78M1A;0.78;1.90;2.10;27;22
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER1R0M1A;1.0;2.30;2.50;25;20
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER1R8M1A;1.8;4.50;5.00;17;16
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER2R0M1A;2.0;5.20;5.80;16;14
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER4R7M1A;4.7;12.90;14.20;9.5;7.6
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER6R8M1A;6.8;17.50;19.30;9.0;7.5
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER100M1A;10;27.80;30.50;7.5;7.1
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER150M1A;15;40.90;45.00;6.25;6.0
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER180M1A;18;46.40;51.90;5.6;4.6
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER220M1A;22;60.40;66.00;5.0;4.5
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER330M1A;33;87.5;94.5;4.4;4.0
IHLP-4040DZ-1A;image/small_inductors/34246.png;IHLP® Automotive Inductors, Low DCR Series;IHLP4040DZER470M1A;47;132.0;145.0;3.3;3.0
