File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER1R0M11;1.0;1.86;2.05;41;27.5
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER1R5M11;1.5;3.12;3.43;31;21
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER2R2M11;2.2;4.57;5.03;26;19
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER3R3M11;3.3;6.64;7.30;20.5;14
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER4R7M11;4.7;8.47;9.32;18;12
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER5R6M11;5.6;11.09;12.20;15;11.5
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER6R8M11;6.8;12.54;13.79;14.5;10.5
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER100M11;10.0;17.2;18.92;12;8
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER150M11;15.0;27.8;30.58;9;7.5
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER220M11;22.0;42.7;46.97;7.2;6.2
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER330M11;33.0;64.4;70.84;6.5;6
IHLP-6767DZ-11;image/small_inductors/34306.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767DZER470M11;47.0;98.60;108.46;5;4.3
