File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER0R33M11;0.33;0.67;0.73;75.5;55;78
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER0R47M11;0.47;0.78;0.87;72;57;60
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER0R56M11;0.56;0.83;0.91;61;66;40
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER0R68M11;0.68;0.97;1.07;60;45;39
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER0R82M11;0.82;0.98;1.08;56.5;45;36
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER1R0M11;1.0;1.21;1.27;55.5;32;34
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER1R5M11;1.5;1.54;1.62;48;31;26
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER2R2M11;2.2;1.85;1.98;43.5;28;19
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER3R3M11;3.3;2.79;2.93;35;27;16
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER4R7M11;4.7;3.98;4.18;30;21;10.7
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER5R6M11;5.6;4.23;4.44;28;21;11.8
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER6R8M11;6.8;5.86;6.15;22.5;18.5;10.0
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER8R2M11;8.2;7.71;8.10;21;18;10.0
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER100M11;10.0;8.89;9.33;19;17;8.0
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER150M11;15.0;13.7;14.4;14;12;7.5
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER000M11;22.0 33.0;20.0 35.1;21.0 37.0;12 10.7;9.5 9;4.3 4.8
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER470M11;47.0;40.7;42.7;8.7;8.6;4.1
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER560M11;56.0;55;57.8;7.2;4.2;2.9
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER680M11;68.0;72.1;75.7;6.1;4.5;3.0
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER820M11;82.0;87.3;91.7;5.5;4.5;2.6
IHLP-6767GZ-11;image/small_inductors/34282.png;IHLP® Commercial Inductors, Low DCR Series;IHLP6767GZER101M11;100.0;105;110;5.0;4.0;2.1
