File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER0R47M8L;0.47;0.56;0.67;80.0;100.0;47.5
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER1R0M8L;1.0;0.82;0.89;69.0;71.0;25.7
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER2R2M8L;2.2;1.23;1.25;58.0;48.0;17.5
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER3R3M8L;3.3;1.63;1.77;49.0;41.0;12.8
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER4R7M8L;4.7;1.69;1.84;47.0;37.0;10.2
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER6R8M8L;6.8;2.84;3.09;36.0;36.0;8.03
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER100M8L;10;4.04;4.14;28.0;28.0;6.04
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER150M8L;15;5.62;6.11;23.5;24.0;4.71
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER220M8L;22;10.60;10.80;17.5;16.0;3.88
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER330M8L;33;15.10;15.40;15.5;10.5;3.01
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER470M8L;47;17.30;17.70;13.5;10.0;2.99
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER750M8L;75;29.76;32.35;12.0;12.0;2.01
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER820M8L;82;31.46;34.20;10.2;9.0;2.07
IHLP-8787MZ-8L;image/small_inductors/34447.png;IHLP® Tin/Lead Inductors, High Temperature (180 °C) Series;IHLP8787MZER101M8L;100;36.25;39.40;9.1;7.0;2.01
