File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (3);SATURATION CURRENT DC TYP. (A) (4)
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER0R1M01;0.10;0.8;0.96;43;84
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER0R15M01;0.15;1;1.2;41;75
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER0R22M01;0.22;1.1;1.3;38.5;65
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER0R33M01;0.33;1.3;1.5;36.5;62
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER000M01;0.47 0.68;1.6 2.3;2 2.5;32 28;55 49
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER0R82M01;0.82;2.6;3;25;44
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER1R0M01;1.0;3.3;3.5;24;40
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER1R5M01;1.5;5.1;5.5;19;35
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER1R8M01;1.8;6.5;7;16.5;30
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER2R2M01;2.2;7.2;8;16;29
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER3R3M01;3.3;11;12;12;27
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER4R7M01;4.7;14.3;15;10;24
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER5R6M01;5.6;18.3;19;9.5;19
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER6R8M01;6.8;19.8;22;9;18
IHLW-5050CE-01;image/small_inductors/34262.png;Low Profile, High Current Inductors - Winged Terminals;IHLW5050CEER000M01;8.2 10;24.8 30.4;28 34;8.5 7;16 14
