File Name;Image Path;Description;PART NUMBER;PART NUMBER;L IND. 0 ± 15 % AT 0 A (μH);DCR MAX. ();HEAT RATING CURRENT DC MAX. (A);SATURATION CURRENT DC (A) (1)
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER1R0M;IHSM5832ER1R0L;1.0;0.01;9.0;6.2
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER1R2M;IHSM5832ER1R2L;1.2;0.011;8.8;5.6
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER1R5M;IHSM5832ER1R5L;1.5;0.012;8.7;5.0
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER1R8M;IHSM5832ER1R8L;1.8;0.013;8.6;4.4
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER2R2M;IHSM5832ER2R2L;2.2;0.015;8.5;4.0
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER2R7M;IHSM5832ER2R7L;2.7;0.017;8.4;3.7
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER3R3M;IHSM5832ER3R3L;3.3;0.02;8.3;3.4
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER3R9M;IHSM5832ER3R9L;3.9;0.021;7.9;3.1
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER4R7M;IHSM5832ER4R7L;4.7;0.023;7.4;2.8
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER5R6M;IHSM5832ER5R6L;5.6;0.024;7.0;2.6
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER6R8M;IHSM5832ER6R8L;6.8;0.038;6.1;2.3
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER8R2M;IHSM5832ER8R2L;8.2;0.047;5.1;2.0
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER100M;IHSM5832ER100L;10;0.053;4.3;1.8
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER120M;IHSM5832ER120L;12;0.068;3.9;1.7
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER150M;IHSM5832ER150L;15;0.078;3.5;1.6
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER180M;IHSM5832ER180L;18;0.083;3.2;1.5
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER220M;IHSM5832ER220L;22;0.12;2.8;1.3
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER270M;IHSM5832ER270L;27;0.14;2.3;1.2
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER330M;IHSM5832ER330L;33;0.17;1.9;1.1
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER390M;IHSM5832ER390L;39;0.19;1.8;1.0
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER470M;IHSM5832ER470L;47;0.215;1.8;0.9
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER560M;IHSM5832ER560L;56;0.236;1.71;0.9
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER680M;IHSM5832ER680L;68;0.305;1.43;0.82
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER820M;IHSM5832ER820L;82;0.357;1.14;0.75
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER101M;IHSM5832ER101L;100;0.452;0.95;0.68
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER121M;IHSM5832ER121L;120;0.53;0.88;0.63
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER151M;IHSM5832ER151L;150;0.609;0.82;0.58
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER181M;IHSM5832ER181L;180;0.809;0.75;0.54
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER221M;IHSM5832ER221L;220;1.1;0.69;0.48
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER271M;IHSM5832ER271L;270;1.27;0.64;0.43
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER331M;IHSM5832ER331L;330;1.42;0.59;0.38
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER391M;IHSM5832ER391L;390;1.89;0.54;0.34
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER471M;IHSM5832ER471L;470;2.21;0.49;0.31
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER561M;IHSM5832ER561L;560;2.42;0.46;0.28
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER681M;IHSM5832ER681L;680;2.73;0.43;0.25
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER821M;IHSM5832ER821L;820;3.78;0.4;0.23
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER102M;IHSM5832ER102L;1000;4.2;0.37;0.21
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER122M;IHSM5832ER122L;1200;5.51;0.32;0.19
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER152M;IHSM5832ER152L;1500;7.35;0.29;0.17
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER182M;IHSM5832ER182L;1800;8.66;0.25;0.16
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER222M;IHSM5832ER222L;2200;9.71;0.22;0.14
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER272M;IHSM5832ER272L;2700;11.29;0.2;0.13
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER332M;IHSM5832ER332L;3300;15.6;0.18;0.12
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER392M;IHSM5832ER392L;3900;20.74;0.16;0.11
IHSM-5832;image/small_inductors/34020.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM5832ER472M;IHSM5832ER472L;4700;23.1;0.14;0.1
