File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER0R22M8;0.22;4.12;4.41;18;11;190
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER0R33M8;0.33;5.07;5.53;16;9.8;117
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER0R47M8;0.47;6.19;6.63;14.5;8.7;94.8
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER0R68M8;0.68;9.28;9.93;11.3;8.2;77.7
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER1R0M8;1.0;11.68;12.29;10.8;8;60.7
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER1R5M8;1.5;18;19.8;7.9;7.1;49.2
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER2R2M8;2.2;24.7;26;6.6;6.3;39.8
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER3R3M8;3.3;44.0;47.0;5.3;5.5;33.4
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER4R7M8;4.7;72.8;78.3;4.1;3.7;23.8
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER6R8M8;6.8;104;111;3.2;2.2;18.8
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER100M8;10;132;138;2.8;1.6;15.9
SGIHLP-24DC-8;image/small_inductors/34464.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP24DCER150M8;15;195;208;2.4;1.6;14.1
