File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TOLERANCE;TEST FREQUENCY L (kHz);DCR MAX. ();RATED DC CURRENT (A) (1)
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER1R0M;1.0;± 20 %;100;0.040;3.0
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER1R5M;1.5;± 20 %;100;0.045;2.8
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER2R2M;2.2;± 20 %;100;0.050;1.8
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER3R3M;3.3;± 20 %;100;0.055;1.6
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER4R7M;4.7;± 20 %;100;0.060;1.4
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER6R8M;6.8;± 20 %;100;0.065;1.2
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER100M;10;± 20 %;100;0.075;1.0
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER150M;15;± 20 %;100;0.090;0.80
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER220M;22;± 20 %;100;0.11;0.70
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER330M;33;± 20 %;100;0.19;0.60
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER470M;47;± 20 %;100;0.23;0.50
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER680M;68;± 20 %;100;0.29;0.40
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER101M;100;± 20 %;100;0.48;0.30
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER151M;150;± 20 %;100;0.59;0.26
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER221M;220;± 20 %;100;0.90;0.22
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER331M;330;± 20 %;100;1.4;0.20
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER471M;470;± 20 %;100;1.8;0.19
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER681M;680;± 20 %;100;2.2;0.18
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER102M;1000;± 20 %;100;3.4;0.15
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER152M;1500;± 20 %;100;4.2;0.12
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER222M;2200;± 20 %;100;8.5;0.10
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER332M;3300;± 20 %;100;11.0;0.08
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER472M;4700;± 20 %;100;13.9;0.06
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER682M;6800;± 20 %;100;25.0;0.04
IDCS-2512;image/small_inductors/34009.png;High Current, Surface Mount Inductors - Shielded;IDCS2512ER000M;10 000;± 20 %;100;32.8;0.02
