File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 AT 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);30 % DROP;SRF TY (MHz
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER000M;;;;;20 % DROP;30 % DROP;
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER3R3M;3.3;11;13;10.3;7.8;14;35
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER4R7M;4.7;13;16;10.1;6.8;13;30
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER6R1M;6.1;16;18;9.6;6.6;11;24
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER6R8M;6.8;18;23;8.7;6.4;10;21
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER100M;10;20;25;7.8;5.4;8.4;17
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER150M;15;23;27;7.1;4.5;6.8;13
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER180M;18;30;39;6.6;3.9;6.7;12
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER220M;22;40;43;6.3;3.6;5.8;11
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER270M;27;44;46;5.7;3.4;5.4;10
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER330M;33;60;65;5.1;3;4.8;9.5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER390M;39;69;73;4.5;2.75;4.4;8.5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER470M;47;80;100;4.1;2.5;4.1;7.5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER560M;56;105;110;3.6;2.35;3.6;7
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER680M;68;132;140;3.2;2.1;3.4;6.5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER820M;82;150;160;2.95;1.95;2.86;5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER101M;100;165;220;2.6;1.7;2.7;4.5
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER121M;120;200;250;2.4;1.6;2.6;4.3
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER151M;150;240;280;2.15;1.42;2.15;4.1
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER181M;180;300;350;1.9;1.3;2.05;4
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER221M;220;320;390;1.75;1.16;1.9;3.4
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER271M;270;400;560;1.6;1.06;1.6;3.1
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER331M;330;560;640;1.5;0.95;1.45;2.9
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER391M;390;620;700;1.4;0.88;1.4;2.7
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER471M;470;755;980;1.25;0.79;1.3;2.2
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER561M;560;876;1070;1.1;0.73;1.12;2
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER681M;680;1300;1460;1.0;0.67;1.1;1.7
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER821M;820;1422;1640;0.9;0.6;0.9;1.4
IFDC-5050HZ;image/small_inductors/34612.png;Shielded SMD Power Inductor;IFDC5050HZER102M;1000;1640;1820;0.9;0.55;0.9;1.3
