File Name;Image Path;Description;PART NUMBER;L INDUCTANCE ± 20 % 0 AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TY (MHz)
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER0R1M01;0.10;3.6;3.9;17.0;45.0;239
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER0R22M01;0.22;4.9;5.2;15.0;22.0;145
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER0R33M01;0.33;7.6;8.2;12.0;25.0;125
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER0R47M01;0.47;8.9;9.4;11.5;21.0;98
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER0R68M01;0.68;11.2;12.4;10.0;15.0;77
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER1R0M01;1.0;18.9;20.0;7.0;16.0;62
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER2R2M01;2.2;45.6;50.1;4.2;9.5;39
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER3R3M01;3.3;79.2;85.5;3.3;8.5;30
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER4R7M01;4.7;108.0;116.6;2.8;5.0;28
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER5R6M01;5.6;113.0;122.0;2.5;4.5;24
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER6R8M01;6.8;139.0;150.0;2.4;4.3;21
IHLP-2020BZ-01;image/small_inductors/34253.png;IHLP® Inductors, High Saturation Series;IHLP2020BZER100M01;10;184.0;199.0;2.3;4.0;20
