File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A 2 (μH) (;DCR TYP. 5 °C mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP.;(A) (3);SRF TYP. (MHz)
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER000M1A;;;;;(A) (2);(A) (3);
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER0R1M1A;0.1;2.6;2.9;26.3;20.5;31.7;312
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER0R22M1A;0.22;3.5;3.9;20.0;8.8;13.4;144
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER0R33M1A;0.33;4.5;5.0;18.5;8.7;13.0;121
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER0R47M1A;0.47;5.4;6.0;15.4;7.4;11.0;89
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER1R0M1A;1.0;10.0;11.0;11.6;6.4;9.4;62
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER1R5M1A;1.5;17.1;18.5;9.0;5.2;7.6;46
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER2R2M1A;2.2;22.5;25.0;8.5;4.9;7.2;35
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER3R3M1A;3.3;36.4;40.4;6.3;4.7;6.8;30
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER4R7M1A;4.7;54.0;60.0;5.1;3.7;5.4;25
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER5R6M1A;5.6;63.0;70.6;4.2;3.0;4.4;21
IHLP-2020CZ-1A;image/small_inductors/34305.png;IHLP® Automotive Inductors, Low DCR Series;IHLP2020CZER000M1A;10 1;22.1;131.9;3.2;1.4;2.1;16
