File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R1MA1;0.1;1.5;1.7;30;50
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R22MA1;0.22;2.9;3.2;21;34
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R33MA1;0.33;3.7;4.1;18;22
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R47MA1;0.47;6.0;6.5;13.5;21
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R68MA1;0.68;8.7;9.4;11;18
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER0R82MA1;0.82;10.6;11.8;10;17
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER1R0MA1;1.0;13.1;14.2;9.0;16
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER1R5MA1;1.5;18.5;21.2;7.5;15
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER2R2MA1;2.2;28.0;34.0;6.5;14
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER3R3MA1;3.3;36.5;51.6;5.0;13
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER4R7MA1;4.7;45.2;63;4.5;10
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER6R8MA1;6.8;72.5;95;3.5;9
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER8R2MA1;8.2;84.2;106;3.0;8
IHLP-2525BD-A1;image/small_inductors/34240.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525BDER100MA1;10;115.6;129;2.5;7
