File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER0R33M5L;0.33;3.25;3.48;22.0;16.0;112
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER0R47M5L;0.47;3.87;4.14;20.0;14.0;82.4
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER0R68M5L;0.68;5.38;5.76;16.5;17.0;56.1
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER0R82M5L;0.82;6.75;7.22;13.8;16.8;68.6
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER1R0M5L;1.0;7.90;8.45;12.0;13.0;53.2
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER1R5M5L;1.5;12.3;13.2;10.6;11.6;45.9
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER2R2M5L;2.2;17.10;18.30;8.1;10.8;31.2
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER3R3M5L;3.3;26.50;28.40;6.8;8.3;28.6
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER4R7M5L;4.7;35.90;38.40;5.6;5.6;25.5
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER5R6M5L;5.6;42.60;45.60;5.3;4.8;22.8
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER6R8M5L;6.8;53.80;57.60;4.4;4.4;19.6
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER100M5L;10;71.90;76.90;4.0;2.9;14.0
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER150M5L;15;98.9;105.9;3.7;2.8;10.4
IHLP-2525CZ-5L;image/small_inductors/34468.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP2525CZER220M5L;22;163.0;174.0;2.8;2.2;8.3
