File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz )
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER0R22M5L;0.22;1.68;1.86;36.0;32.0;117
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER0R47M5L;0.47;2.38;2.55;27.0;19.0;77
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER0R68M5L;0.68;3.30;3.53;21.5;16.2;51
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER0R82M5L;0.82;3.70;4.00;20.0;16.0;49
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER1R0M5L;1.0;4.58;4.90;19.0;16.2;45
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER1R5M5L;1.5;6.78;7.25;15.5;14.0;35
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER2R2M5L;2.2;11.70;12.50;11.5;14.0;32
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER3R3M5L;3.3;15.40;16.48;10.6;11.8;23
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER4R7M5L;4.7;26.60;28.46;7.2;9.1;18
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER5R6M5L;5.6;29.60;31.67;6.9;9.0;18
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER100M5L;10;50.00;53.50;5.1;5.2;13
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER150M5L;15;62.00;66.34;4.8;3.6;10
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER220M5L;22;103.00;110.21;3.7;3.8;9
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER330M5L;33;149.00;159.43;3.1;3.2;6.1
IHLP-3232DZ-5L;image/small_inductors/34494.png;IHLP® Tin/Lead Inductors, High Temperature (155 °C) Series;IHLP3232DZER470M5L;47;252.00;269.64;2.4;2.8;5.5
