File Name;Image Path;Description;PART NUMBER;L INDUCTANCE ± 20 % 0 AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R19M1L;0.19;0.70;0.80;40;46
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R22M1L;0.22;0.85;0.95;33;44
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R24M1L;0.24;0.85;0.95;33;44
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R36M1L;0.36;1.05;1.35;32;30
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R47M1L;0.47;1.53;1.68;30;30
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R56M1L;0.56;1.61;1.80;32;22
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER0R78M1L;0.78;1.80;1.90;27;22
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER1R0M1L;1.0;2.30;2.50;25;20
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER1R8M1L;1.8;4.50;5.00;17;16
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER2R0M1L;2.0;5.20;5.80;16;14
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER4R7M1L;4.7;12.90;14.20;9.5;7.6
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER6R8M1L;6.8;17.50;19.30;9.0;7.5
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER100M1L;10;27.80;30.50;7.5;7.1
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER150M1L;15;40.90;45.00;6.25;6.0
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER180M1L;18;46.40;51.90;5.6;4.6
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER220M1L;22;60.40;66.00;5.0;4.5
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER330M1L;33;87.50;94.50;4.4;4.0
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER470M1L;47;132.0;145.0;3.3;3.0
IHLP-4040DZ-1L;image/small_inductors/34210.png;IHLP® Tin / Lead Inductors, Low DCR Series;IHLP4040DZER101M1L;100;249.0;270.0;2.5;2.25
