File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER0R47M5L;0.47;1.55;1.66;30.0;28.5;72.1
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER1R0M5L;1.0;2.87;3.07;23.5;24.0;37.2
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER1R5M5L;1.5;4.2;4.5;22.0;17.9;32
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER2R2M5L;2.2;8.15;8.76;15;12;30.1
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER3R3M5L;3.3;11.0;11.81;11.0;12.0;25.5
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER4R7M5L;4.7;14.3;15.32;9.8;9.2;20.1
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER5R6M5L;5.6;16.5;17.60;9.3;9.0;16.3
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER6R8M5L;6.8;20.9;22.36;8.0;9.0;16.3
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER100M5L;10;30.9;33.06;6.5;8.5;11.5
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER150M5L;15;47.0;50.29;5.1;7.7;10.4
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER220M5L;22;70.5;75.44;4.1;6.4;8.30
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER330M5L;33;110;117.70;3.7;4.2;5.79
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER470M5L;47;167;178;3.1;4.1;5.22
IHLP-4040DZ-5L;image/small_inductors/34397.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP4040DZER680M5L;68;240;252;2.4;3.5;4.02
