File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R1M01;0.10;0.53;0.60;55;118
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R22M01;0.22;0.64;0.80;51;110
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R33M01;0.33;0.85;1.1;42;80
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R47M01;0.47;1.1;1.3;38;65
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R56M01;0.56;1.3;1.5;36;55
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R68M01;0.68;1.5;1.7;34;54
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER0R82M01;0.82;2.0;2.3;31;53
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER1R0M01;1.0;2.1;2.5;29;50
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER1R5M01;1.5;3.4;4.1;23;48
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER1R8M01;1.8;4.2;4.9;19;40
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER2R2M01;2.2;4.6;5.5;20;32
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER3R3M01;3.3;7.7;9.2;15;32
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER4R7M01;4.7;12.8;15.0;12;27
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER5R6M01;5.6;14.0;16.5;11.5;22
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER6R8M01;6.8;15.4;18.5;11;21
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER7R8M01;7.8;17.2;20.5;10;18
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER8R2M01;8.2;18.9;22.5;9.5;18
IHLP-5050EZ-01;image/small_inductors/34126.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050EZER100M01;10;21.4;25.5;9.0;16
