File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R1MA1;0.10;0.47;0.50;60.0;120.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R15MA1;0.15;0.53;0.60;55.0;118.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R22MA1;0.22;0.63;0.70;53.0;112.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R3MA1;0.30;0.70;0.80;48.0;72.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R33MA1;0.33;0.83;0.90;46.0;65.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R4MA1;0.40;0.90;1.0;44.0;64.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R47MA1;0.47;1.0;1.2;41.0;63.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R56MA1;0.56;1.2;1.4;37.0;62.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R68MA1;0.68;1.4;1.6;35.0;60.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER0R82MA1;0.82;1.6;1.9;33.0;50.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER1R0MA1;1.0;1.7;2.0;32.0;49.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER1R2MA1;1.2;2.1;2.5;30.0;48.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER1R5MA1;1.5;2.5;3.0;27.0;45.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER1R8MA1;1.8;2.8;3.2;24.0;41.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER2R2MA1;2.2;3.5;4.2;22.0;40.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER3R3MA1;3.3;5.7;6.8;18.0;35.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER4R7MA1;4.7;9.3;11.2;13.5;30.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER5R6MA1;5.6;9.3;10;13.5;26.5
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER6R8MA1;6.8;13.1;14;11.5;16.5
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER8R2MA1;8.2;14.5;15.5;10.5;16.0
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER100MA1;10;16.4;17.2;10.0;15.5
IHLP-5050FD-A1;image/small_inductors/34249.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050FDER150MA1;15;27.6;29.7;7.7;15.0
