File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. SR (A) TY 20 % DROP (2) 30 % DROP (3) (MH; 
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER000M51;;;;;20 % DROP (2);
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER0R47M51;0.47;0.89;0.95;65;76;110 52
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER1R0M51;1;1.36;1.46;53;42;60 35
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER1R5M51;1.5;1.72;1.85;40.5;40;55 2
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER2R2M51;2.2;2.25;2.41;38.5;38;41 19
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER3R3M51;3.3;3.06;3.27;32.2;32;40 16
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER4R7M51;4.7;4.89;5.23;24;26;35 1
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER5R6M51;5.6;5.86;6.30;23;23;33 11
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER6R8M51;6.8;7.5;8.06;21;22;32 10
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER8R2M51;8.2;8.6;9.23;17.5;14.5;19 9.
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER100M51;10;10.2;10.91;16;13;18.5 7.
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER150M51;15;15.85;16.96;12.5;13;16 8.5
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER220M51;22;21.28;22.27;11.7;11;15 5.9
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER330M51;33;36.2;38.9;8.8;9.4;13.7 4.4
IHLP-6767GZ-51;image/small_inductors/34312.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP6767GZER470M51;47;52.7;56.4;7.25;7;10.1 3.7
