File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER0R47M8A;0.47;0.89;0.95;65.0;76.0;52.3
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER1R0M8A;1.0;1.36;1.46;53.0;42.0;35.5
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER2R2M8A;2.2;2.25;2.41;38.5;38.0;19.8
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER3R3M8A;3.3;3.06;3.27;32.2;32.0;16.5
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER4R7M8A;4.7;4.89;5.23;24.0;26.0;14.0
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER8R2M8A;8.2;8.6;9.23;17.5;14.5;9.40
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER100M8A;10.0;10.20;10.91;16.0;13.0;7.70
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER150M8A;15.0;15.85;16.96;12.5;13.0;8.55
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER220M8A;22.0;21.28;22.27;11.7;11.0;5.97
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER330M8A;33.0;36.2;38.9;8.8;9.4;4.43
IHLP-6767GZ-8A;image/small_inductors/34498.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP6767GZER470M8A;47.0;52.7;56.4;7.25;7.0;3.72
