File Name;Image Path;Description;PART NUMBER;IND. AT 1 kHz (μH);DCR MAX. ();RATED CURRENT MAX. (A);INCREMENTAL CURRENT APPROX. (A)
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER1R0M;1.0;0.015;5.11;4.41
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER1R2M;1.2;0.016;4.93;4.11
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER1R5M;1.5;0.017;4.63;3.66
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER1R8M;1.8;0.022;4.27;3.22
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER2R2M;2.2;0.031;3.61;2.62
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER2R7M;2.7;0.038;3.18;2.40
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER3R3M;3.3;0.045;2.94;2.13
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER3R9M;3.9;0.062;2.57;2.05
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER4R7M;4.7;0.083;2.17;1.93
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER5R6M;5.6;0.091;2.08;1.79
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER6R8M;6.8;0.101;1.94;1.62
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER8R2M;8.2;0.118;1.83;1.50
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER100M;10.0;0.126;1.74;1.36
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER120M;12.0;0.170;1.50;1.26
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER150M;15.0;0.228;1.29;1.11
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER180M;18.0;0.306;1.13;1.05
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER220M;22.0;0.336;1.05;0.96
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER270M;27.0;0.389;0.98;0.86
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER330M;33.0;0.440;0.92;0.75
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER390M;39.0;0.490;0.86;0.72
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER470M;47.0;0.646;0.74;0.68
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER560M;56.0;0.845;0.65;0.64
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER680M;68.0;1.040;0.61;0.58
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER820M;82.0;1.240;0.56;0.51
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER101M;100.0;1.440;0.48;0.42
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER121M;120.0;2.180;0.45;0.40
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER151M;150.0;2.900;0.38;0.37
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER181M;180.0;3.280;0.36;0.33
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER221M;220.0;3.650;0.34;0.28
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER271M;270.0;4.400;0.29;0.26
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER331M;330.0;5.070;0.27;0.23
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER391M;390.0;5.900;0.23;0.20
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER471M;470.0;7.670;0.22;0.19
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER561M;560.0;8.850;0.21;0.17
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER681M;680.0;10.20;0.18;0.15
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER821M;820.0;11.58;0.17;0.14
IHSM-3825;image/small_inductors/34018.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM3825ER102M;1000.0;12.97;0.16;0.13
