File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER0R22M8;0.22;1.74;1.93;36.0;32.0;117
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER0R47M8;0.47;2.45;2.62;27.0;19.0;77
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER0R68M8;0.68;3.37;3.60;21.5;16.2;51
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER0R82M8;0.82;3.77;4.07;20.0;16.0;49
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER1R0M8;1.0;4.65;4.97;19.0;16.2;45
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER1R5M8;1.5;6.85;7.32;15.5;14.0;35
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER2R2M8;2.2;11.77;12.57;11.5;14.0;32
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER3R3M8;3.3;15.47;16.55;11.3;11.8;23
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER4R7M8;4.7;26.67;28.63;7.2;9.1;18
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER5R6M8;5.6;29.67;31.74;6.9;9.0;18
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER100M8;10;50.07;53.57;5.1;5.2;13
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER150M8;15;62.07;66.41;4.8;3.6;10
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER220M8;22;103.07;110.28;3.7;3.8;9
SGIHLP-41FA-8;image/small_inductors/34479.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP41FAER330M8;33;149.07;159.50;3.1;3.2;6.1
