Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Lead Style▲▼;Packaging▲▼;Image path
A100J15C0GF5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;10;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100J15C0GF5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;10;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100J15C0GH5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;10;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100J15C0GH5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;10;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100K15C0GF5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;10;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100K15C0GF5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;10;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100K15C0GH5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;10;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A100K15C0GH5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;10;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GF5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GF5TAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;50;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GF5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GF5UAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;50;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GH5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GH5TAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;100;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GH5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GH5UAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;100;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GK5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;200;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GK5TAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;200;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GK5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;200;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GK5UAAR;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;200;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45231.png
A101J15C0GL5TAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;500;100;C0G;NA;Axial;Reel;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
A101J15C0GL5UAA;Enlarge;Axial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;500;100;C0G;NA;Axial;Ammo;image/capacitors/ceramic/ceramic-multilayer-leaded/45164.png
