Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Packaging▲▼;Lead Style▲▼;Image path
20VLD90-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X2, 400 VAC;400  (X2);9000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23107.png
20VLD90QAM1-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X2, 400 VAC;400  (X2);9000;Y5V;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23107.png
20VLP10-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X2, 400 VAC;400  (X2);100000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23107.png
20VLS10-R;Enlarge;Lower Voltage Ceramic Singlelayer DC Disc Capacitors 2 kVDC to 7.5 kVDC;400  (X2);10000;Y5U;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23118.png
25YD10-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);1000;Y5S;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD10PG-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);1000;Y5S;5 mm / 0.200 inch;BULK;Step / High Seated;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD10VZ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);1000;Y5S;5 mm / 0.200 inch;Reel;Step / High Seated;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD15-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);1500;Y5S;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD20-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);2000;Y5S;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD22-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);2200;Y5S;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD22KE-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);2200;Y5S;6.35 mm / 0.250 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/23105.png
25YD22QT-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y2, 300 VAC / 250 VAC;400  (X1) 250  (Y2);2200;Y5S;6.35 mm / 0.250 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23105.png
125LD10-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);1000;Y5U;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD10QM-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);1000;Y5U;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD15-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);1500;Y5U;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD20-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);2000;Y5U;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD22-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);2200;Y5U;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD33-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);3300;Y5V;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD47-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);4700;Y5V;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD47QH-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);4700;Y5V;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD47QR-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);4700;Y5V;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD47UB-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);4700;Y5V;6.35 mm / 0.250 inch;bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD50-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);5000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD68-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);6800;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LD82-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);8200;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
