Series▲▼;Product Image;Technology▲▼;Mounting▲▼;Construction▲▼;Capacitance▲▼;Voltage(V)▲▼;ESR(mΩ)▲▼;Case Size (mm)(mm)▲▼;Image path
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;5 µF;50;9000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;6;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;86 µF;100;3100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;25;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.5 µF;75;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;10;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;100;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;20;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;430 µF;8;3200;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;11 µF;150;12000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;300 µF;30;1600;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;70 µF;15;3600;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;82 µF;50;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;8;4200;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;125;10000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;30;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;75;6000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;50;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;290 µF;6;2000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.7 µF;125;54600;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;25;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;6.8 µF;75;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;250 µF;10;2000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;11 µF;100;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;25;6000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;39 µF;60;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;850 µF;8;1000;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;150;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;35;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;15;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;160 µF;50;2200;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;8;4000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;125;4100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;40 µF;30;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;110 µF;75;3100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;50;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;6;2100;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.6 µF;125;15000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;25;2600;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;13 µF;75;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;390 µF;10;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;30 µF;6;4200;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;100;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;25;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;60;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;10;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;39 µF;150;2200;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;35;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;2.5 µF;100;26500;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;15;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;4 µF;60;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;8;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.7 µF;150;42000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;30;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;50;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;6;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
