Part Number▲▼,Product Image,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,Rev. Voltage(V)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
2W005G,Enlarge,2,1.1,60,50,150,WOG,Quad,image/diodes/bridge/88528.png
2W01G,Enlarge,2,1.1,60,100,150,WOG,Quad,image/diodes/bridge/88528.png
2W02G,Enlarge,2,1.1,60,200,150,WOG,Quad,image/diodes/bridge/88528.png
2W04G,Enlarge,2,1.1,60,400,150,WOG,Quad,image/diodes/bridge/88528.png
2W06G,Enlarge,2,1.1,60,600,150,WOG,Quad,image/diodes/bridge/88528.png
2W08G,Enlarge,2,1.1,60,800,150,WOG,Quad,image/diodes/bridge/88528.png
2W10G,Enlarge,2,1.1,60,1000,150,WOG,Quad,image/diodes/bridge/88528.png
B125C1000G,Enlarge,1,1.0,45,200,125,WOG,Quad,image/diodes/bridge/88500.png
B125C1000G,Enlarge,1,1.0,45,65,125,WOG,Quad,image/diodes/bridge/88500.png
B125C1000G,Enlarge,1,1.0,45,400,125,WOG,Quad,image/diodes/bridge/88500.png
B125C1000G,Enlarge,1,1.0,45,125,125,WOG,Quad,image/diodes/bridge/88500.png
B125C1000G,Enlarge,1,1.0,45,600,125,WOG,Quad,image/diodes/bridge/88500.png
B125C1500G,Enlarge,1.5,1.0,50,400,125,WOG,Quad,image/diodes/bridge/88501.png
B125C1500G,Enlarge,1.5,1.0,50,125,125,WOG,Quad,image/diodes/bridge/88501.png
B125C1500G,Enlarge,1.5,1.0,50,600,125,WOG,Quad,image/diodes/bridge/88501.png
B125C1500G,Enlarge,1.5,1.0,50,200,125,WOG,Quad,image/diodes/bridge/88501.png
B125C1500G,Enlarge,1.5,1.0,50,65,125,WOG,Quad,image/diodes/bridge/88501.png
B125C800DM,Enlarge,0.9,1.0,45,200,125,DFM,Quad,image/diodes/bridge/88533.png
B125C800G,Enlarge,0.9,1.0,45,125,125,WOG,Quad,image/diodes/bridge/88534.png
B125C800G,Enlarge,0.9,1.0,45,600,125,WOG,Quad,image/diodes/bridge/88534.png
B125C800G,Enlarge,0.9,1.0,45,200,125,WOG,Quad,image/diodes/bridge/88534.png
B125C800G,Enlarge,0.9,1.0,45,65,125,WOG,Quad,image/diodes/bridge/88534.png
B125C800G,Enlarge,0.9,1.0,45,400,125,WOG,Quad,image/diodes/bridge/88534.png
B250C1000G,Enlarge,1,1.0,45,65,125,WOG,Quad,image/diodes/bridge/88500.png
B250C1000G,Enlarge,1,1.0,45,400,125,WOG,Quad,image/diodes/bridge/88500.png
B250C1000G,Enlarge,1,1.0,45,125,125,WOG,Quad,image/diodes/bridge/88500.png
B250C1000G,Enlarge,1,1.0,45,600,125,WOG,Quad,image/diodes/bridge/88500.png
B250C1000G,Enlarge,1,1.0,45,200,125,WOG,Quad,image/diodes/bridge/88500.png
B250C1500G,Enlarge,1.5,1.0,50,125,125,WOG,Quad,image/diodes/bridge/88501.png
B250C1500G,Enlarge,1.5,1.0,50,600,125,WOG,Quad,image/diodes/bridge/88501.png
B250C1500G,Enlarge,1.5,1.0,50,200,125,WOG,Quad,image/diodes/bridge/88501.png
B250C1500G,Enlarge,1.5,1.0,50,65,125,WOG,Quad,image/diodes/bridge/88501.png
