Part Number▲▼,Product Image,Package▲▼,Reverse WorkingVoltage(V)▲▼,Capacitance(pF)▲▼,LeakageCurrent(µA)▲▼,Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A)▲▼,Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W)▲▼,ProtectableLines▲▼,ESD Immunityacc. IEC 61000-4-2(kV)▲▼,Max. OperatingJunction Temperature(°C)▲▼,AEC-Q101Qualified▲▼,Image path
GMF05C-HSF,Enlarge,LLP75-6L,5,126,1,12,200,5,± 30,125,No,image/diodes/esd-protection/81731.png
GSOT03,Enlarge,SOT-23,3.3,420,100,30,369,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT03C,Enlarge,SOT-23,3.3,420,100,30,369,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT04,Enlarge,SOT-23,4,310,20,30,429,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT04C,Enlarge,SOT-23,4,310,20,30,429,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT05,Enlarge,SOT-23,5,260,10,30,480,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT05C,Enlarge,SOT-23,5,260,10,30,480,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT08,Enlarge,SOT-23,8,160,5,18,345,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT08C,Enlarge,SOT-23,8,160,5,18,345,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT12,Enlarge,SOT-23,12,115,1,12,312,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT12C,Enlarge,SOT-23,12,115,1,12,312,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT15,Enlarge,SOT-23,15,90,1,8,230,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT15C,Enlarge,SOT-23,15,90,1,8,345,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT24,Enlarge,SOT-23,24,65,1,5,235,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT24C,Enlarge,SOT-23,24,65,1,5,235,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
GSOT36,Enlarge,SOT-23,36,52,1,3.5,248,1,± 30,125,Yes,image/diodes/esd-protection/85807.png
GSOT36C,Enlarge,SOT-23,36,52,1,3.5,248,2,± 30,150,Yes,image/diodes/esd-protection/85824.png
SMF10A,Enlarge,SMF (DO-219AB),10,562,0.1,11.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF10A,Enlarge,SMF (DO-219AB),10,562,0.1,11.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF11A,Enlarge,SMF (DO-219AB),11,509,0.1,11,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF11A,Enlarge,SMF (DO-219AB),11,509,0.1,11,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF12A,Enlarge,SMF (DO-219AB),12,483,0.1,10.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF12A,Enlarge,SMF (DO-219AB),12,483,0.1,10.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF13A,Enlarge,SMF (DO-219AB),13,423,0.1,9.3,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF13A,Enlarge,SMF (DO-219AB),13,423,0.1,9.3,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF14A,Enlarge,SMF (DO-219AB),14,392,0.1,8.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF14A,Enlarge,SMF (DO-219AB),14,392,0.1,8.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF15A,Enlarge,SMF (DO-219AB),15,367,0.1,8.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF15A,Enlarge,SMF (DO-219AB),15,367,0.1,8.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF16A,Enlarge,SMF (DO-219AB),16,343,0.1,7.7,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF16A,Enlarge,SMF (DO-219AB),16,343,0.1,7.7,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF17A,Enlarge,SMF (DO-219AB),17,324,0.1,7.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF17A,Enlarge,SMF (DO-219AB),17,324,0.1,7.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF18A,Enlarge,SMF (DO-219AB),18,320,0.1,6.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF18A,Enlarge,SMF (DO-219AB),18,320,0.1,6.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF20A,Enlarge,SMF (DO-219AB),20,283,0.1,6.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF20A,Enlarge,SMF (DO-219AB),20,283,0.1,6.2,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF22A,Enlarge,SMF (DO-219AB),22,271,0.1,5.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF22A,Enlarge,SMF (DO-219AB),22,271,0.1,5.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF24A,Enlarge,SMF (DO-219AB),24,244,0.1,5.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF24A,Enlarge,SMF (DO-219AB),24,244,0.1,5.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF26A,Enlarge,SMF (DO-219AB),26,230,0.1,4.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF26A,Enlarge,SMF (DO-219AB),26,230,0.1,4.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF28A,Enlarge,SMF (DO-219AB),28,227,0.1,4.4,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF28A,Enlarge,SMF (DO-219AB),28,227,0.1,4.4,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF30A,Enlarge,SMF (DO-219AB),30,207,0.1,4.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF30A,Enlarge,SMF (DO-219AB),30,207,0.1,4.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF33A,Enlarge,SMF (DO-219AB),33,198,0.1,3.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF33A,Enlarge,SMF (DO-219AB),33,198,0.1,3.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF36A,Enlarge,SMF (DO-219AB),36,178,0.1,3.4,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF36A,Enlarge,SMF (DO-219AB),36,178,0.1,3.4,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF40A,Enlarge,SMF (DO-219AB),40,172,0.1,3.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF40A,Enlarge,SMF (DO-219AB),40,172,0.1,3.1,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF43A,Enlarge,SMF (DO-219AB),43,165,0.1,2.9,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF43A,Enlarge,SMF (DO-219AB),43,165,0.1,2.9,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF45A,Enlarge,SMF (DO-219AB),45,162,0.1,2.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF45A,Enlarge,SMF (DO-219AB),45,162,0.1,2.8,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF48A,Enlarge,SMF (DO-219AB),48,161,0.1,2.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF48A,Enlarge,SMF (DO-219AB),48,161,0.1,2.6,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF51A,Enlarge,SMF (DO-219AB),51,151,0.1,2.4,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
