Series▲▼,Product Image,IF(AV)(A) at Ths/TC(°C)▲▼,IFSMat 50 Hz(A)▲▼,IFSMat 60 Hz(A)▲▼,VRRM(V)▲▼,trr(µs)▲▼,TJ(°C)▲▼,VFM(V)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
VS-12F(R) Series,Enlarge,12 at 144,265,280,1200,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,1000,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,800,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,600,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,400,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,200,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,100,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,1200,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,1000,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,800,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,600,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,1200,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,1000,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,800,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,600,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,400,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,200,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,100,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,1000,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,900,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,800,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,700,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,600,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,500,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,400,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,200,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,300,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,100,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,150,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
