Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,IRM(mA)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,AEC-Q101Qualified▲▼,Image path
1N5817,Enlarge,20,1,see datasheet,25,,125,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88525.png
1N5818,Enlarge,30,1,see datasheet,25,,125,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88525.png
1N5819,Enlarge,40,1,see datasheet,25,,125,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88525.png
1N5820,Enlarge,20,3,see datasheet,80,,125,DO-201AD,Single,No,image/diodes/schottky/88526.png
1N5821,Enlarge,30,3,see datasheet,80,,125,DO-201AD,Single,No,image/diodes/schottky/88526.png
1N5822,Enlarge,40,3,see datasheet,80,,125,DO-201AD,Single,No,image/diodes/schottky/88526.png
B120-E3,Enlarge,20,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/88946.png
B120-M3,Enlarge,20,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/89926.png
B130-E3,Enlarge,30,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/88946.png
B130-M3,Enlarge,30,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/89926.png
B140-E3,Enlarge,40,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/88946.png
B140-M3,Enlarge,40,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/89926.png
B150-E3,Enlarge,50,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/88946.png
B150-M3,Enlarge,50,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/89926.png
B160-E3,Enlarge,60,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/88946.png
B160-M3,Enlarge,60,1,see datasheet,30,,see datasheet,SMA (DO-214AC),Single,No,image/diodes/schottky/89926.png
B230LA,Enlarge,30,2,see datasheet,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/88894.png
B230LA-M3,Enlarge,30,2,see datasheet,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89413.png
B240A,Enlarge,40,2,see datasheet,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/88894.png
B240A-M3,Enlarge,40,2,see datasheet,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89413.png
B330LA,Enlarge,30,3,see datasheet,65,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/88896.png
B330LA-M3,Enlarge,30,3,see datasheet,65,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89415.png
B340A,Enlarge,40,3,see datasheet,65,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/88896.png
B340A-M3,Enlarge,40,3,see datasheet,65,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89415.png
B340LB,Enlarge,40,3,0.34,100,,150,SMB (DO-214AA),Single,No,image/diodes/schottky/89039.png
B350A,Enlarge,50,3,0.55,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89071.png
B350A-M3,Enlarge,50,3,0.55,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89414.png
B350B,Enlarge,50,3,0.51,60,,150,SMB (DO-214AA),Single,No,image/diodes/schottky/89122.png
B350B,Enlarge,50,3,0.51,60,,150,SMB (DO-214AA),Single,No,image/diodes/schottky/89446.png
B360A,Enlarge,60,3,0.55,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89071.png
B360A-M3,Enlarge,60,3,0.55,50,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89414.png
B360B,Enlarge,60,3,0.51,60,,150,SMB (DO-214AA),Single,No,image/diodes/schottky/89122.png
B360B,Enlarge,60,3,0.51,60,,150,SMB (DO-214AA),Single,No,image/diodes/schottky/89446.png
BYM13-xx,Enlarge,20,1,see datasheet,30,,see datasheet,GL41 (DO-213AB),Single,Yes,image/diodes/schottky/88548.png
BYM13-xx,Enlarge,30,1,see datasheet,30,,see datasheet,GL41 (DO-213AB),Single,Yes,image/diodes/schottky/88548.png
BYM13-xx,Enlarge,40,1,see datasheet,30,,see datasheet,GL41 (DO-213AB),Single,Yes,image/diodes/schottky/88548.png
BYM13-xx,Enlarge,50,1,see datasheet,30,,see datasheet,GL41 (DO-213AB),Single,Yes,image/diodes/schottky/88548.png
BYM13-xx,Enlarge,60,1,see datasheet,30,,see datasheet,GL41 (DO-213AB),Single,Yes,image/diodes/schottky/88548.png
BYS10-25,Enlarge,25,1.5,0.50,40,,150,SMA (DO-214AC),Single,Yes,image/diodes/schottky/86013.png
BYS10-35,Enlarge,35,1.5,0.50,40,,150,SMA (DO-214AC),Single,Yes,image/diodes/schottky/86013.png
BYS10-45,Enlarge,45,1.5,0.50,40,,150,SMA (DO-214AC),Single,Yes,image/diodes/schottky/86013.png
BYS11-90,Enlarge,90,1.5,0.75,40,,150,SMA (DO-214AC),Single,Yes,image/diodes/schottky/86014.png
BYS11-90-M3,Enlarge,90,1.5,0.75,40,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89409.png
BYS12-90,Enlarge,90,1.5,0.75,40,,150,SMA (DO-214AC),Single,Yes,image/diodes/schottky/88950.png
BYS12-90-M3,Enlarge,90,1.5,0.75,40,,150,SMA (DO-214AC),Single,No,image/diodes/schottky/89412.png
M6035P,Enlarge,35,2 x 30,see datasheet,350,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88980.png
M6045P,Enlarge,45,2 x 30,see datasheet,350,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88980.png
M6060P,Enlarge,60,2 x 30,see datasheet,350,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88980.png
MB10H100,Enlarge,100,10,0.64,250,,175,ITO-220AC,Single,Yes,image/diodes/schottky/87727.png
MB10H100CT,Enlarge,100,2 x 5,0.61,150,,175,ITO-220AB,Common cathode,Yes,image/diodes/schottky/87728.png
MB20H100CT,Enlarge,100,2 x 10,0.64,250,,175,ITO-220AB,Common cathode,Yes,image/diodes/schottky/87736.png
MB30H100CT,Enlarge,100,2 x 15,0.67,275,,175,ITO-220AB,Common cathode,Yes,image/diodes/schottky/87737.png
MBR10100-M3,Enlarge,100,10,0.65,150,,150,TO-220AC,Single,No,image/diodes/schottky/89193.png
MBR10100CT,Enlarge,100,2 x 5.0,0.75,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89197.png
MBR10100CT-E3,Enlarge,100,2 x 5.0,0.75,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89125.png
MBR1090-M3,Enlarge,90,10,0.65,150,,150,TO-220AC,Single,No,image/diodes/schottky/89193.png
MBR1090CT,Enlarge,90,2 x 5.0,0.75,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89197.png
MBR1090CT-E3,Enlarge,90,2 x 5.0,0.75,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89125.png
MBR10H100,Enlarge,100,10,0.64,250,,175,TO-220AC,Single,No,image/diodes/schottky/88667.png
MBR10H100CT,Enlarge,100,2 x 5,0.61,150,,175,TO-220AC,Common cathode,No,image/diodes/schottky/88668.png
MBR10xx,Enlarge,45,10,see datasheet,150,,150,TO-220AC,Single,Yes,image/diodes/schottky/88669.png
MBR10xx,Enlarge,60,10,see datasheet,150,,150,TO-220AC,Single,Yes,image/diodes/schottky/88669.png
MBR10xxx-E3,Enlarge,90,10,0.65,150,,150,TO-220AC,Single,No,image/diodes/schottky/89034.png
MBR10xxx-E3,Enlarge,100,10,0.65,150,,150,TO-220AC,Single,No,image/diodes/schottky/89034.png
MBR1545CT,Enlarge,45,2 x 7.5,see datasheet,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/87589.png
MBR1560CT,Enlarge,60,2 x 7.5,see datasheet,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/87589.png
MBR1635,Enlarge,35,16,see datasheet,150,,150,TO-220AC,Single,No,image/diodes/schottky/87590.png
MBR1645,Enlarge,45,16,see datasheet,150,,150,TO-220AC,Single,No,image/diodes/schottky/87590.png
MBR1660,Enlarge,60,16,see datasheet,150,,150,TO-220AC,Single,No,image/diodes/schottky/87590.png
MBR20100CT-M3,Enlarge,100,2 x 10,0.65,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89192.png
MBR2090CT-M3,Enlarge,90,2 x 10,0.65,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89192.png
MBR20H100CT,Enlarge,100,2 x 10,0.64,250,,175,TO-220AB,Common cathode,No,image/diodes/schottky/88673.png
MBR20H100CTG,Enlarge,100,2 x 10,0.70,150,,175,TO-220AB,Common cathode,No,image/diodes/schottky/88856.png
MBR20xxxCT-E3,Enlarge,90,2 x 10,0.65,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89033.png
MBR20xxxCT-E3,Enlarge,100,2 x 10,0.65,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89033.png
MBR2560CT,Enlarge,60,2 x 12.5,see datasheet,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/87593.png
MBR25xxCT,Enlarge,35,2 x 12.5,see datasheet,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/88675.png
MBR25xxCT,Enlarge,45,2 x 12.5,see datasheet,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/88675.png
MBR3035PT,Enlarge,35,30,see datasheet,200,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88676.png
MBR3045PT,Enlarge,45,30,see datasheet,200,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88676.png
MBR3050PT,Enlarge,50,30,see datasheet,200,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88676.png
MBR3060PT,Enlarge,60,30,see datasheet,200,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88676.png
MBR30H100CT,Enlarge,100,2 x 15,0.67,275,,175,TO-220AB,Common cathode,No,image/diodes/schottky/88791.png
MBR30H100PT,Enlarge,100,2 x 15,0.67,265,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88678.png
MBR30H35PT,Enlarge,35,30,see datasheet,200,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88792.png
MBR30H45PT,Enlarge,45,30,see datasheet,200,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88792.png
MBR30H50PT,Enlarge,50,30,see datasheet,200,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88792.png
MBR30H60CT,Enlarge,60,2 x 15,0.59,150,,175,TO-220AB,Common cathode,No,image/diodes/schottky/88866.png
MBR30H60PT,Enlarge,60,30,see datasheet,200,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88792.png
MBR30H90PT,Enlarge,90,2 x 15,0.67,265,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88678.png
MBR4035PT,Enlarge,35,40,see datasheet,400,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88679.png
MBR4045PT,Enlarge,45,40,see datasheet,400,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88679.png
MBR4050PT,Enlarge,50,40,see datasheet,400,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88679.png
MBR4060PT,Enlarge,60,40,see datasheet,400,,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88679.png
MBR40H35PT,Enlarge,35,40,see datasheet,400,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88794.png
MBR40H45PT,Enlarge,45,40,see datasheet,400,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88794.png
MBR40H50PT,Enlarge,50,40,see datasheet,400,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88794.png
MBR40H60PT,Enlarge,60,40,see datasheet,400,,175,TO-3P (TO-247AD),Common cathode,No,image/diodes/schottky/88794.png
MBR745,Enlarge,45,7.5,see datasheet,150,,150,TO-220AC,Single,No,image/diodes/schottky/88680.png
MBR760,Enlarge,60,7.5,see datasheet,150,,150,TO-220AC,Single,No,image/diodes/schottky/88680.png
