Series▲▼,Product Image,Product Group▲▼,VRmax. / VRRM(V)▲▼,IFmax.(mA)▲▼,VFmax. at IF(mV at mA)▲▼,AEC-Q101 Qualified▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
BAS170WS,Enlarge,Small Signal Schottky Diode,70,70,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85653.png
BAS170WS-G,Enlarge,Small Signal Schottky Diode,70,70,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85236.png
"BAS281, BAS282, BAS283",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85500.png
"BAS281, BAS282, BAS283",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85500.png
"BAS281, BAS282, BAS283",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85500.png
BAS285,Enlarge,Small Signal Schottky Diode,30,200,800 at 100,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85501.png
BAS286,Enlarge,Small Signal Schottky Diode,50,200,900 at 100,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85502.png
"BAS381, BAS382, BAS383",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85503.png
"BAS381, BAS382, BAS383",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85503.png
"BAS381, BAS382, BAS383",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85503.png
BAS385,Enlarge,Small Signal Schottky Diode,30,200,800 at 100,No,MicroMELF,Single,image/diodes/ss-schottky/85504.png
BAS386,Enlarge,Small Signal Schottky Diode,50,200,900 at 100,No,MicroMELF,Single,image/diodes/ss-schottky/85505.png
BAS40-00 to BAS40-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Single,image/diodes/ss-schottky/86400.png
BAS40-00 to BAS40-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Dual serial,image/diodes/ss-schottky/86400.png
BAS40-00 to BAS40-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Common cathode,image/diodes/ss-schottky/86400.png
BAS40-00 to BAS40-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Common anode,image/diodes/ss-schottky/86400.png
BAS40-00-G to BAS40-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Single,image/diodes/ss-schottky/86401.png
BAS40-00-G to BAS40-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Dual serial,image/diodes/ss-schottky/86401.png
BAS40-00-G to BAS40-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Common cathode,image/diodes/ss-schottky/86401.png
BAS40-00-G to BAS40-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",40,200,380 at 50,Yes,SOT-23,Common anode,image/diodes/ss-schottky/86401.png
BAS40-02V,Enlarge,Small Signal Schottky Diode,40,120,1000 at 40,Yes,SOD-523,Single,image/diodes/ss-schottky/85651.png
BAS40L,Enlarge,Small Signal Schottky Diode,40,200,400 at 40,Yes,DFN1006-2A,Single,image/diodes/ss-schottky/86189.png
BAS40LTH,Enlarge,Small Signal Schottky Diode with TJ max. = 175 &#176;C,40,200,400 at 40,Yes,DFN1006-2A,Single,image/diodes/ss-schottky/86328.png
BAS581-02V,Enlarge,Small Signal Schottky Diode,40,30,370 at 1,Yes,SOD-523,Single,image/diodes/ss-schottky/85516.png
BAS70-00 to BAS70-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Single,image/diodes/ss-schottky/86402.png
BAS70-00 to BAS70-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Dual serial,image/diodes/ss-schottky/86402.png
BAS70-00 to BAS70-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Common cathode,image/diodes/ss-schottky/86402.png
BAS70-00 to BAS70-06,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Common anode,image/diodes/ss-schottky/86402.png
BAS70-00-G to BAS70-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Single,image/diodes/ss-schottky/86403.png
BAS70-00-G to BAS70-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Dual serial,image/diodes/ss-schottky/86403.png
BAS70-00-G to BAS70-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Common cathode,image/diodes/ss-schottky/86403.png
BAS70-00-G to BAS70-06-G,Enlarge,"Small Signal Schottky Diodes, Single and Dual",70,200,410 at 50,Yes,SOT-23,Common anode,image/diodes/ss-schottky/86403.png
BAS70-02V,Enlarge,Small Signal Schottky Diode,70,100,1000 at 15,Yes,SOD-523,Single,image/diodes/ss-schottky/85652.png
"BAS81, BAS82, BAS83",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85509.png
"BAS81, BAS82, BAS83",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85509.png
"BAS81, BAS82, BAS83",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85509.png
BAS85,Enlarge,Small Signal Schottky Diode,30,200,800 at 100,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85510.png
BAS85-M,Enlarge,Small Signal Schottky Diode,30,200,800 at 100,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/83403.png
BAS86,Enlarge,Small Signal Schottky Diode,,,,,,,image/diodes/ss-schottky/85511.png
BAS86-M,Enlarge,Small Signal Schottky Diode,50,200,900 at 100,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/83402.png
