Series▲▼,Product Image,Product Line▲▼,PPPMat 10 x 1000 μs(W)▲▼,Package (JEDEC®)Code▲▼,TVS Polarity▲▼,Stand-OffVoltageVWM(V)▲▼,BreakdownVoltage VBRat IT(V) Min.▲▼,BreakdownVoltage VBRat IT(V) Max.▲▼,TJMax.(°C)▲▼,AEC-Q101Qualified▲▼,Image path
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",40.2,44.7,49.4,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",8.55,9.5,10.5,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",18.8,20.9,23.1,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",256,285,315,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",111,124,137,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",30.8,34.2,37.8,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",6.4,7.13,7.88,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",64.1,71.3,78.8,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",13.6,15.2,16.8,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",171,190,210,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",434,485,535,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",85.5,95,105,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",23.1,25.7,28.4,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",47.8,53.2,58.8,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",10.2,11.4,12.6,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",342,380,420,175,Yes,image/diodes/tvs-protection/88301.png
"1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A",Enlarge,TRANSZORB® TVS,1500,1.5KE,"Unidirectional, bidirectional",136,152,168,175,Yes,image/diodes/tvs-protection/88301.png
