Series▲▼(all)OLED-008N002AOLED-008N002A-BPP5N00000OLED-008N002A-GPP5N00000OLED-008N002A-RPP5N00000OLED-008N002A-WPP5N00000OLED-012N002AOLED-012N002A-GPP5N00000OLED-012N002A-LPP5N00000OLED-012N002A-WPP5N00000OLED-016N001A-BPP5N00000OLED-016N001A-GPP5N00000OLED-016N001A-LPP5N00000OLED-016N001A-WPP5N00000OLED-016N002AOLED-016N002A-BPP5N00000OLED-016N002A-GPP5N000A0OLED-016N002B-BPP5N00000OLED-016N002B-WPP5N00000OLED-016N002COLED-016N002C-BPP5N00000OLED-016N002C-GPP5N00000OLED-016N002C-LPP5N00000OLED-016N002C-WPP5N00000OLED-016N002EOLED-016N002H-BPP5N00000OLED-016N002H-GPP5N00000OLED-016N002H-LPP5N00000OLED-016N002H-WPP5N00000OLED-016O002B-BPP5N00000OLED-016O002B-LPP5N00000OLED-016O002C-LPP5N00000OLED-016O002C-SPP3N00000OLED-016O002C-WPP5N00000OLED-016O002G-LPP5N00000OLED-020N002A-BPP5N00000OLED-020N002A-GPP5N000A0OLED-020N002A-LPP5N000A0OLED-020N002A-WPP5N00000OLED-020N002B-GPP5N00000OLED-020N002B-LPP5N00000OLED-020N002B-SPP5N00000OLED-020N002B-WPP5N00000OLED-020N004A-BPP5N00000OLED-020N004A-GPP5N00000OLED-020N004A-LPP5N00000OLED-020N004A-WPP5N00000OLED-020N004BOLED-020N004B-BPP5N00000OLED-020N004B-GPP5N00000OLED-020N004B-LPP5N00000OLED-020N004B-WPP5N00000OLED-020O002A-LPP5N00000OLED-020O004C-LPP5N00000OLED-040N002A-GPP5N00000OLED-040N002A-LPP5N00000OLED-040N002A-SPP5N00000OLED-040N002A-WPP5N00000,Type(V)▲▼(all)Charactercharacter,Display Format▲▼(all)8 x 2 characters12 x 2 characters16 x 1 characters16 x 2 characters20 x 2 characters20 x 4 characters40 x 2 characters,mm(W x H mm)▲▼(all)53.0 x 20.0 x 7.6 (max.)55.7 x 32.0 x 11.0 (max.)58.0 x 32.0 x 10.0 (max.)68.5 x 17.5 x 2.0568.5 x 17.5 x 2.1780.0 x 36.0 x 10.0 (max.)84.0 x 44.0 x 9.6784.0 x 44.0 x 10.0 (max.)84.5 x 19.28 x 2.1784.5 x 27.5 x 2.1785.0 x 36.0 x 10.0 (max.)98.0 x 60.0 x 10.0 (max.)116.0 x 37.0 x 9.8 (max.)122.0 x 44.0 x 10.0 (max.)180.0 x 40.0 x 9.3 (max.)180.0 x 40.0 x 10.0 (max.)182.0 x 38.5 x 9.3 (max.),mm(W x H mm)▲▼(all)36.0 x 10.038.0 x 16.046.0 x 14.558.22 x 13.5266.0 x 16.070.0 x 25.272.42 x 22.8275.52 x 13.5277.0 x 25.285.0 x 18.698.0 x 21.099.0 x 24.0149.0 x 23.0154.4 x 16.5,mm(W x H mm)▲▼(all)1.67 x 2.842.65 x 5.52.9 x 4.752.90 x 4.752.95 x 5.552.95 x 6.352.96 x 5.562.97 x 4.772.97 x 5.573.05 x 5.553.2 x 5.553.22 x 5.574.74 x 8.94.74 x 8.906.0 x 9.66,mm(W x H mm)▲▼(all)0.30 x 0.320.45 x 0.600.54 x 0.550.55 x 0.650.55 x 0.750.56 x 0.660.57 x 0.570.57 x 0.650.57 x 0.670.6 x 0.650.60 x 0.650.62 x 0.670.90 x 1.061.12 x 1.12,mm(W x H mm)▲▼(all)0.34 x 0.360.55 x 0.700.59 x 0.600.60 x 0.590.60 x 0.600.60 x 0.700.60 x 0.800.62 x 0.700.65 x 0.700.96 x 1.121.22 x 1.22,Duty▲▼(all)1/81/161/32,Built-In Controller▲▼(all)OLED-0010SSD1311,Yellow▲▼(all)-YYes,Green▲▼(all)-YYes,Red▲▼(all)-YYes,Blue▲▼(all)-YYes,White▲▼(all)-YYes,Image path
OLED-008N002A,Character,8 x 2 characters,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,Y,Y,Y,Y,Y,
OLED-008N002A-BPP5N00000,character,8 x 2 characters,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,-,-,Yes,-,
OLED-008N002A-GPP5N00000,character,8 x 2 characters,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,Yes,-,-,-,
OLED-008N002A-RPP5N00000,character,8 x 2 characters,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,-,Yes,-,-,
OLED-008N002A-WPP5N00000,character,8 x 2 characters,58.0 x 32.0 x 10.0 (max.),38.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,OLED-0010,-,-,-,-,Yes,
OLED-012N002A,Character,12 x 2 characters,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,2.65 x 5.5,0.45 x 0.60,0.55 x 0.70,1/16,OLED-0010,Y,-,-,-,-,
OLED-012N002A-GPP5N00000,character,12 x 2 characters,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,2.65 x 5.5,0.45 x 0.60,0.55 x 0.70,1/16,OLED-0010,-,Yes,-,-,-,
OLED-012N002A-LPP5N00000,character,12 x 2 characters,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,2.65 x 5.5,0.45 x 0.60,0.55 x 0.70,1/16,OLED-0010,Yes,-,-,-,-,
OLED-012N002A-WPP5N00000,character,12 x 2 characters,55.7 x 32.0 x 11.0 (max.),46.0 x 14.5,2.65 x 5.5,0.45 x 0.60,0.55 x 0.70,1/16,OLED-0010,-,-,-,-,Yes,
OLED-016N001A-BPP5N00000,character,16 x 1 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 6.35,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,-,-,Yes,-,
OLED-016N001A-GPP5N00000,character,16 x 1 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 6.35,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,Yes,-,-,-,
OLED-016N001A-LPP5N00000,character,16 x 1 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 6.35,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,Yes,-,-,-,-,
OLED-016N001A-WPP5N00000,character,16 x 1 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 6.35,0.55 x 0.75,0.60 x 0.80,1/8,OLED-0010,-,-,-,-,Yes,
OLED-016N002A,Character,16 x 2 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,OLED-0010,Y,Y,Y,Y,Y,
OLED-016N002A-BPP5N00000,character,16 x 2 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,OLED-0010,-,-,-,Yes,-,
OLED-016N002A-GPP5N000A0,character,16 x 2 characters,80.0 x 36.0 x 10.0 (max.),66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,OLED-0010,-,Yes,-,-,-,
OLED-016N002B-BPP5N00000,character,16 x 2 characters,122.0 x 44.0 x 10.0 (max.),99.0 x 24.0,4.74 x 8.90,0.90 x 1.06,0.96 x 1.12,1/16,OLED-0010,-,-,-,Yes,-,
