Series▲▼(all)14S, 17S, 18S43636470117SP8PP8ST6T7T9T11T12, T13T18T53T63T73T93TS3TS4TS5TS6TS53TS63TSM4;Product Image;"Description▲▼(all)1 1/4"" Rectangular Multi-Turn Cermet Trimmer1/4"" Multi-Turn Fully Sealed Container Cermet Trimmer1/4"" Square Single-Turn Cermet Sealed Trimmer3 mm Square Surface Mount Miniature Trimmer Single-Turn Cermet Sealed3/4"" Rectangular (19 mm) Multi-Turn Cermet Trimmer3/4"" Rectangular Multi-Turn Cermet Trimmer3/8"" Square (10 mm) Multi-Turn Cermet Trimmer3/8"" Square (10 mm) Single-Turn Cermet Trimmer3/8"" Square Multi-Turn Cermet Trimmer3/8"" Square Multi-Turn Fully Sealed Container Cermet Trimmer5 mm Square Surface Mount Miniature Trimmers Multi-Turn Cermet Sealed5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Fully Sealed5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Sealed5 mm Through Hole Trimmer Single-Turn Cermet7 mm Diameter Miniature Single-Turn Cermet Trimmer8.5 mm Diameter Single-Turn Fully Sealed Container Cermet Trimmer12.5 mm Square Modular Single-Turn Cermet TrimmerCermet Trimmers, Surface Mount, 4.0 mm Square, Single Turn, Industrial GradeFully Sealed Container 12 mm Square or Round Single-Turn Cermet TrimmerMulti-Turn 1/4"" (6.35 mm) Square Wirewound TrimmersMulti-Turn 3/8"" (9.52 mm) Square Wirewound TrimmersMulti-Turn Surface Mount 1/4"" Square Cermet Trimmers, Fully Sealed";Mounting▲▼(all)Surface-mountThrough-hole;Trimmer Type▲▼(all)Multi turnSingle turn;Resistance Min.(Ω)▲▼(all)1022100;Resistance Max.(Ω)▲▼(all)1 M2 M2.2 M4.7 M5 K5 M10 K10 M;Image path
14S, 17S, 18S;Enlarge;"Multi-Turn 1/4"" (6.35 mm) Square Wirewound Trimmers";Through-hole;Multi turn;10;5 K;image/trimmers/68017.png
43;Enlarge;"3/4"" Rectangular (19 mm) Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;5 M;image/trimmers/57026.png
63;Enlarge;"3/8"" Square (10 mm) Single-Turn Cermet Trimmer";Through-hole;Single turn;100;2 M;image/trimmers/57027.png
64;Enlarge;"3/8"" Square (10 mm) Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/57028.png
70;Enlarge;"1 1/4"" Rectangular Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2 M;image/trimmers/57076.png
117S;Enlarge;"Multi-Turn 3/8"" (9.52 mm) Square Wirewound Trimmers";Through-hole;Multi turn;10;10 K;image/trimmers/68016.png
P8P;Enlarge;8.5 mm Diameter Single-Turn Fully Sealed Container Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51019.png
P8S;Enlarge;8.5 mm Diameter Single-Turn Fully Sealed Container Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51020.png
T11;Enlarge;12.5 mm Square Modular Single-Turn Cermet Trimmer;Through-hole;Single turn;22;4.7 M;image/trimmers/51021.png
T12, T13;Enlarge;Fully Sealed Container 12 mm Square or Round Single-Turn Cermet Trimmer;Through-hole;Single turn;22;10 M;image/trimmers/51022.png
T18;Enlarge;"3/4"" Rectangular Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;5 M;image/trimmers/51027.png
T53;Enlarge;5 mm Through Hole Trimmer Single-Turn Cermet;Through-hole;Single turn;10;1 M;image/trimmers/51014.png
T6;Enlarge;"1/4"" Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51023.png
T63;Enlarge;"1/4"" Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51024.png
T7;Enlarge;7 mm Diameter Miniature Single-Turn Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51015.png
T73;Enlarge;"1/4"" Square Single-Turn Cermet Sealed Trimmer";Through-hole;Single turn;10;2 M;image/trimmers/51016.png
T9;Enlarge;"3/8"" Square Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51025.png
T93;Enlarge;"3/8"" Square Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51026.png
TS3;Enlarge;3 mm Square Surface Mount Miniature Trimmer Single-Turn Cermet Sealed;Surface-mount;Single turn;10;2 M;image/trimmers/51041.png
TS4;Enlarge;Cermet Trimmers, Surface Mount, 4.0 mm Square, Single Turn, Industrial Grade;Surface-mount;Single turn;10;2 M;image/trimmers/51053.png
TS5;Enlarge;5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Fully Sealed;Surface-mount;Single turn;10;1 M;image/trimmers/51007.png
TS53;Enlarge;5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Sealed;Surface-mount;Single turn;10;1 M;image/trimmers/51008.png
TS6;Enlarge;"Multi-Turn Surface Mount 1/4"" Square Cermet Trimmers, Fully Sealed";Surface-mount;Multi turn;10;2 M;image/trimmers/51010.png
TS63;Enlarge;"Multi-Turn Surface Mount 1/4"" Square Cermet Trimmers, Fully Sealed";Surface-mount;Multi turn;10;2 M;image/trimmers/51011.png
TSM4;Enlarge;5 mm Square Surface Mount Miniature Trimmers Multi-Turn Cermet Sealed;Surface-mount;Multi turn;10;1 M;image/trimmers/51009.png
