Part Number▲▼,Product Image,Package▲▼,Dimensions(mm)▲▼,Carrier Frequency(kHz)▲▼,AGC▲▼,Transmission DistanceTyp.(m)▲▼,Detection Threshold /Sensitivity Typ.▲▼,Half ViewingAngle(°)▲▼,Supply CurrentTyp.(mA)▲▼,Pinning▲▼,Recommended for RemoteControl Code▲▼,Application▲▼,Mounting▲▼,Image path
VSOP38336,Enlarge,VSOP,2.0 W x 2.0 H x 0.76 D,36,AGC3,,,,0.35,"1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN",MCIR,Remote control,SMD,image/ir-receiver-modules/82748.png
VSOP38338,Enlarge,VSOP,2.0 W x 2.0 H x 0.76 D,38,AGC3,,,,0.35,"1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN",Mitsubishi,Remote control,SMD,image/ir-receiver-modules/82748.png
VSOP38338,Enlarge,VSOP,2.0 W x 2.0 H x 0.76 D,38,AGC3,,,,0.35,"1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN",RECS-80 Code,Remote control,SMD,image/ir-receiver-modules/82748.png
VSOP38338,Enlarge,VSOP,2.0 W x 2.0 H x 0.76 D,38,AGC3,,,,0.35,"1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN",r-map,Remote control,SMD,image/ir-receiver-modules/82748.png
VSOP38338,Enlarge,VSOP,2.0 W x 2.0 H x 0.76 D,38,AGC3,,,,0.35,"1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN","XMP-1, XMP-2",Remote control,SMD,image/ir-receiver-modules/82748.png
TSDP34138,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38.4,AGC1,30,0.08,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Data transmission,Leaded,image/ir-receiver-modules/82667.png
TSDP34156,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,57.6,AGC1,30,0.08,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Data transmission,Leaded,image/ir-receiver-modules/82667.png
TSDP34338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38.4,AGC3,30,0.08,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Data transmission,Leaded,image/ir-receiver-modules/82667.png
TSDP34356,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,57.6,AGC3,30,0.08,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Data transmission,Leaded,image/ir-receiver-modules/82667.png
TSMP93100,Enlarge,Mold,5.4 W x 6.35 H x 4.9 D,38,,18,0.2,± 45,0.35,"1 = carrier OUT, 2 = GND, 3 = VS",,Repeater,Leaded,image/ir-receiver-modules/82915.png
TSMP94100,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,,18,0.2,± 45,0.35,"1 = carrier OUT, 2 = GND, 3 = VS",,Repeater,Leaded,image/ir-receiver-modules/82914.png
TSMP95000,Enlarge,Heimdall,6.8 W x 3.0 H x 3.2 D,30 to 60,,1.8,12,± 50,0.35,"1, 4 = GND, 2 = VS, 3 = carrier OUT",,Code learning,SMD,image/ir-receiver-modules/82907.png
TSMP95100XV,Enlarge,Heimdall,6.8 W x 3.0 H x 3.2 D,38,,10,0.5,± 50,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Repeater,SMD,image/ir-receiver-modules/82913.png
TSMP96000,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30 to 60,,1.8,12,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Code learning,SMD,image/ir-receiver-modules/82906.png
