Part Number▲▼(all)TLCPG5100TLCR5100TLCR6200TLCR6800TLCS5100TLCY5200TLCY6800TLCYG5100TLWR8600TLWR8900TLWR8901TLWR8902TLWY8600TLWY8900VLCS5130VLCS5830VLDB1232GVLDB1232RVLDK1235GVLDK1235RVLDK1535GVLDK1535RVLDR1235GVLDR1235RVLDR1535GVLDR1535RVLDS1235GVLDS1235RVLDS1535GVLDS1535RVLDTG1232GVLDTG1232RVLDY1235GVLDY1235RVLDY1535GVLDY1535RVLME23Q2T1VLMF23Q2S1VLMF2300VLMK23P2R1VLMK23P2S1VLMK33S1T1VLMK233U1AAVLMK234ABCAVLMK235T2V1VLMK333U2ABVLMK334BACBVLMK335U1V2VLMK2300VLMO233U1AAVLMO235U1V2VLMO235U2V2-35VLMO333U2ABVLMO335U2AAVLMPG33N1P2VLMR33T1U2VLMR233T2V2VLMR234ABCAVLMR235T2V1VLMR333U1AAVLMR334BACBVLMR335U1V2VLMS33S1T2VLMS33S1U1VLMS233T1V1VLMS234V2BAVLMS235S2U1VLMS333T2V2VLMS334AABBVLMS335T1U2VLMTG1400VLMTG1401VLMTG1402VLMU35A10-385-130VLMU35A10-395-130VLMU35A10-405-130VLMU35CB20-275-120VLMU35CB21-275-120VLMU35CL20-275-120VLMU35CR40-275-120VLMU35CR41-275-120VLMU35CT20-275-120VLMU35CT21-275-120VLMU1610-365-135VLMU3510-365-130VLMU3511-365-130VLMW33S2V1-5K8LVLMW33U2AA-5K8LVLMY33T1U2VLMY233T2V2VLMY234ABCAVLMY235T2V1VLMY333U1AAVLMY334BACBVLMY335U1V2VLMYG33P1Q2VLWR9632VLWR9930VLWR9932VLWR9933VLWY9930,Package▲▼(all)5 mmSMD 0603 ChipLEDSMD ceramicSMD ceramic high powerSMD ceramic mid powerSMD dome lensSMD MiniLEDSMD PLCC-2TELUX,Color▲▼(all)AmberBluePure greenRedSoft orangeSuper redTrue greenUltravioletUVAWhiteYellowYellow green,"Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm)▲▼(all)265270360362.5380390400458515520555565566581583585598600602611619620626","Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm)▲▼(all)0.33, 0.33273274277367385395405465525527560562570572588589590591592605616617624625630","Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm)▲▼(all)280285370390400410472535541565567576577594594595597597609611611621622622630631631634637638639639",Luminous Intensity IVMin.(mcd)▲▼(all)2835.545569018022422428035535543045045056056090011201200135014001800240028003550430045005600575071007500900024000,Luminous Intensity IVTyp.(mcd)▲▼(all)4290901121201251701802752903703904254505205505505606006306356506506807007007507608509501250140014001600200022002300250028003500400050006500750080001100011000145001600018000250003500065000,Luminous Intensity IVMax.(mcd)▲▼(all)7111214022435545056056071090090011201120140018002240280035504500900011200140002240035500,IFforIV(mA)▲▼(all)203050,Luminous Flux ΦVMin.(mIm)▲▼(all)122520003000400060007000,Luminous Flux ΦVTyp.(mIm)▲▼(all)144014501480320037003900850090009500,Luminous Flux ΦVMax.(mIm)▲▼(all)1805480012200,IFforΦV(mA)▲▼(all)2070120180250500600700,"Forward Voltage, VFTyp.(V)▲▼(all)1.922.02.12.152.22.252.32.802.93.03.53.63.74.06.06.26.36.5","Forward Voltage, VFMax.(V)▲▼(all)2.52.62.672.72.83.03.033.053.44.04.24.47.07.7",Angle of Half Intensity(± °)▲▼(all)491115223045606567.573,Key Feature▲▼(all)Power,Image path
TLCPG5100,5 mm,Pure green,555,562,567,430,1250,,50,,,,,2.1,2.7,9,Power,
TLCR5100,5 mm,Red,611,616,622,4300,11000,,50,,,,,2.1,2.7,9,Power,
TLCR6200,5 mm,Red,611,616,622,1350,4000,,50,,,,,2.1,2.7,15,Power,
TLCR6800,5 mm,Red,611,616,622,7500,35000,,50,,,,,2.1,2.7,4,Power,
TLCS5100,5 mm,Super red,626,630,638,2400,7500,,50,,,,,2.1,2.7,9,Power,
TLCY5200,5 mm,Yellow,585,590,597,1350,4000,,50,,,,,2.1,2.7,15,Power,
TLCY6800,5 mm,Yellow,585,590,597,5750,25000,,50,,,,,2.1,2.7,4,Power,
TLCYG5100,5 mm,Yellow green,565,572,576,1350,3500,,50,,,,,2.2,2.7,9,Power,
TLWR8600,TELUX,Red,611,616,634,,,,,2000,3700,,70,2.2,2.67,30,Power,
TLWR8900,TELUX,Red,611,616,634,,,,,2000,3700,,70,2.2,2.67,45,Power,
TLWR8901,TELUX,Red,611,616,634,,,,,2000,3700,4800,70,2.2,2.67,45,Power,
TLWR8902,TELUX,Red,611,616,634,,,,,3000,3900,4800,70,2.2,2.67,45,Power,
TLWY8600,TELUX,Yellow,585,591,597,,,,,2000,3200,,70,2.1,2.67,30,Power,
TLWY8900,TELUX,Yellow,585,591,597,,,,,2000,3200,,70,2.1,2.67,45,Power,
VLCS5130,5 mm,Red,620,624,630,7500,25000,,50,,,,,2.2,3.0,9,Power,
VLCS5830,5 mm,Red,620,624,630,24000,65000,,50,,,,,2.2,3.0,4,Power,
VLDB1232G,SMD dome lens,Blue,458,465,472,1800,3500,,20,,,,,3.0,3.4,9,Power,
VLDB1232R,SMD dome lens,Blue,458,465,472,1800,3500,,20,,,,,3.0,3.4,9,Power,
VLDK1235G,SMD dome lens,Amber,611,616,621,9000,18000,35500,50,,,,,2.25,2.7,11,Power,
VLDK1235R,SMD dome lens,Amber,611,616,621,9000,18000,35500,50,,,,,2.25,2.7,11,Power,
VLDK1535G,SMD dome lens,Amber,611,616,621,4500,8000,14000,50,,,,,2.25,2.7,22,Power,
VLDK1535R,SMD dome lens,Amber,611,616,621,4500,8000,14000,50,,,,,2.25,2.7,22,Power,
VLDR1235G,SMD dome lens,Red,619,624,631,9000,14500,35500,50,,,,,2.2,2.7,11,Power,
VLDR1235R,SMD dome lens,Red,619,624,631,9000,14500,35500,50,,,,,2.2,2.7,11,Power,
VLDR1535G,SMD dome lens,Red,619,624,631,3550,6500,11200,50,,,,,2.2,2.7,22,Power,
VLDR1535R,SMD dome lens,Red,619,624,631,3550,6500,11200,50,,,,,2.2,2.7,22,Power,
VLDS1235G,SMD dome lens,Super red,626,630,637,5600,11000,22400,50,,,,,2.2,2.7,11,Power,
VLDS1235R,SMD dome lens,Super red,626,630,637,5600,11000,22400,50,,,,,2.2,2.7,11,Power,
VLDS1535G,SMD dome lens,Super red,626,630,637,2800,5000,9000,50,,,,,2.2,2.7,22,Power,
VLDS1535R,SMD dome lens,Super red,626,630,637,2800,5000,9000,50,,,,,2.2,2.7,22,Power,
VLDTG1232G,SMD dome lens,True green,515,525,541,7100,16000,,20,,,,,2.9,3.4,9,Power,
VLDTG1232R,SMD dome lens,True green,515,525,541,7100,16000,,20,,,,,2.9,3.4,9,Power,
VLDY1235G,SMD dome lens,Yellow,583,589,595,9000,18000,35500,50,,,,,2.3,2.7,11,Power,
VLDY1235R,SMD dome lens,Yellow,583,589,595,9000,18000,35500,50,,,,,2.3,2.7,11,Power,
VLDY1535G,SMD dome lens,Yellow,583,589,595,4500,8000,14000,50,,,,,2.3,2.7,22,Power,
VLDY1535R,SMD dome lens,Yellow,583,589,595,4500,8000,14000,50,,,,,2.3,2.7,22,Power,
VLME23Q2T1,SMD MiniLED,Yellow,581,588,594,90,170,355,20,,,,,2,2.6,60,Power,
VLMF2300,SMD MiniLED,Soft orange,598,605,611,56,112,,20,,,,,2.0,2.6,60,Power,
