Part Number▲▼(all)TLDR4400TLDR4900TLDR4901TLDR5400TLDR5800TLDR6400TLDR6800TLHA44R1S2TLHE44R1S2-26TLHE4600TLHE5800TLHF4600TLHF4601TLHF4900TLHG44K1M2TLHG4200TLHG4201TLHG4205TLHG4400TLHG4401TLHG4405TLHG4600TLHG4605TLHG4900TLHG5420TLHG5420-KSZTLHG6420TLHG6420-CSZTLHK42S1T2TLHK44R1S2TLHK46Q1R2TLHK4200TLHK4400LTLHK4600TLHK5100TLHK5800TLHO4200TLHO4201TLHO4400TLHR4200TLHR4205TLHR4400TLHR4401TLHR4405TLHR4600TLHR4605TLHR4900TLHR5200TLHR5400TLHR5401TLHR5405TLHR5405-KS21TLHR5405-KSZTLHR6400TLHR6401TLHR6405TLHY4200TLHY4205TLHY4400TLHY4401TLHY4405TLHY4600TLHY4605TLHY5400TLHY5401TLHY5405TLHY6400TLHY6405TLMG1100TLMO1100TLMP1100TLMS1100TLMS1101TLMY1100TLUG2400TLUG2401TLUO2401TLUR2400TLUR2401TLUR4400TLUR4401TLUR5400TLUR5401TLUY2400TLUY2401TLVD4200TLVG4200TLVY42N1P2-34TLVY4200TLWR7600TLWR7900TLWY7600TLWY7900VLHW5100VLMB41P1Q2VLMB41P2Q2VLMB1300VLMB1302VLMB1310VLMB1500VLMB1501VLMB2332T1U2VLMD31L2N1VLMD31M2P1VLMD3100VLMD3105VLME31Q2T1VLME31R1S2VLME31S1T1VLME3100VLMF31Q2T1VLMF3100VLMG21J2L1VLMG21J2M1VLMG21K1L2VLMG31K1L2VLMG31K1M2VLMG31L1M2VLMG1300VLMG1500VLMG3100VLMG3102VLMG3105VLMH3100VLMH3102VLMK31Q1R2VLMK31R1S1VLMK31R1S2VLMK31R2S2VLMK3100VLMK3102VLMK3105VLMO31J1K2VLMO31K1L2VLMO1300VLMO1500VLMO2100VLMO3100VLMP23L2M2VLMP31G2J1VLMP31H2J2VLMP3100VLMP3102VLMPG31L1M2VLMR31Q2T1VLMS31J1K2VLMS31J1L2VLMS31J2L1VLMS31K1L2VLMS1300VLMS1500VLMS1501VLMS1502VLMS3100VLMTG41S2U1VLMTG1300VLMTG1500VLMTG1501VLMTG2332ABCAVLMU3100VLMW41R1T1-5K8LVLMW41R1T1-7K8LVLMW41S1T1-5K8LVLMW41S1T2-7K8LVLMW41S1T2-JKKLVLMW41S1T2-MKNLVLMW45R1S1-5K6LVLMW1300VLMW1301VLMW1500VLMW1501VLMW1502VLMW1503VLMY31J1K2VLMY31K1L2VLMY1300VLMY1301VLMY1500VLMY1501VLMY2100VLMY3100VLMY3101VLMY3102VLRE31R1S2VLRE31R2S2-XYVLRK31Q1R2VLRK31R1S2VLRYG31P1Q2VLRYG31Q1R2,Package▲▼(all)1.8 mm (miniplast)3 mm3 mm backlighting5 mmSMD 0402 ChipLEDSMD 0603SMD 0603 ChipLEDSMD MiniLEDSMD PLCC-2SMD reverse gullwingTELUX,Color▲▼(all)AmberBlueGreenOrangePure greenRedSoft orangeSuper redTrue greenUltravioletWhiteYellowYellow green,"Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm)▲▼(all)400458462465470515520551555562564564.5567.5580581583584.5585587598600602611612620624626627","Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm)▲▼(all)0.30, 0.280.33, 0.330.294, 0.2860.304, 0.3000.314, 0.3150.345, 0.352405465469472525530559560561568570571572586588589590592605606617618619630631633640648","Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm)▲▼(all)410472475476535541565566575576.5590591594594595597609609611611612624625625630634635636638639639",Luminous Intensity IVMin.(mcd)▲▼(all)0.6311.121.62.242.52.83.5544.545.66.36.37.1101011.212.51416161822.4252528283235.5354045505663637171.57190112112140180224280320100014005600,Luminous Intensity IVTyp.(mcd)▲▼(all)3.53.644.3567.07.688.58.699.41010.51111.51213141515161820222526283537434550546370727580909010011213814216016018019019520021027527530038044014002300250035005500,Luminous Intensity IVMax.(mcd)▲▼(all)5.67.111.212.514182022.428323235.545567190112112.5125125180180200224224280280285355355450560710355011200,IFforIV(mA)▲▼(all)561020,Luminous Flux ΦVMin.(mIm)▲▼(all)10284010001500,Luminous Flux ΦVTyp.(mIm)▲▼(all)301302800,Luminous Flux ΦVMax.(mIm)▲▼(all)71,IFforΦV(mA)▲▼(all)1570,"Forward Voltage, VFTyp.(V)▲▼(all)1.81.922.02.002.12.22.42.802.92.903.23.3","Forward Voltage, VFMax.(V)▲▼(all)2.22.32.42.402.62.672.833.003.053.103.153.43.63.84.2",Angle of Half Intensity(± °)▲▼(all)4910141620222530404560658085,Key Feature▲▼(all)Standard,Image path
TLDR4400,3 mm,Red,,648,,25,45,,20,,,,,1.8,2.2,40,Standard,
TLDR4900,3 mm,Red,,648,,63,200,,20,,,,,1.8,2.2,16,Standard,
TLDR4901,3 mm,Red,,648,,63,,200,20,,,,,1.8,2.2,16,Standard,
TLDR5400,5 mm,Red,,648,,35,70,,20,,,,,1.8,2.2,30,Standard,
TLDR5800,5 mm,Red,,648,,1000,2500,,20,,,,,1.8,2.2,4,Standard,
TLDR6400,5 mm,Red,,648,,35,70,,20,,,,,1.8,2.2,30,Standard,
TLDR6800,5 mm,Red,,648,,1000,2500,,20,,,,,1.8,2.2,4,Standard,
TLHA44R1S2,3 mm,Amber,612,617,625,112,,280,20,,,,,2,2.6,30,Standard,
TLHE44R1S2-26,3 mm,Yellow,583,588,594,112,,280,20,,,,,1.9,2.6,30,Standard,
TLHE4600,3 mm,Yellow,581,588,594,10,26,,10,,,,,1.9,2.6,60,Standard,
TLHE5800,5 mm,Yellow,581,588,594,1000,3500,,20,,,,,2,2.6,4,Standard,
TLHF4600,3 mm,Soft orange,598,605,611,10,26,,10,,,,,2.0,2.6,60,Standard,
TLHF4601,3 mm,Soft orange,602,,609,40,,125,10,,,,,2.0,2.6,60,Standard,
TLHF4900,3 mm,Soft orange,598,605,611,63,300,,10,,,,,1.9,2.6,16,Standard,
TLHG4200,3 mm,Green,562,,575,6.3,10,,10,,,,,2.4,3,22,Standard,
TLHG4201,3 mm,Green,562,,575,10,15,,10,,,,,2.4,3,22,Standard,
TLHG4205,3 mm,Green,562,,575,16,20,,10,,,,,2.4,3,22,Standard,
TLHG4400,3 mm,Green,562,,575,2.5,13,,10,,,,,2.4,3,30,Standard,
TLHG4401,3 mm,Green,562,,575,4,14,,10,,,,,2.4,3,30,Standard,
TLHG4405,3 mm,Green,562,,575,6.3,15,,10,,,,,2.4,3,30,Standard,
TLHG44K1M2,3 mm,Green,562,,575,,,,,,,,,2.1,2.6,30,Standard,
TLHG4600,3 mm,Green,562,,575,1,4,,10,,,,,2.4,3,60,Standard,
TLHG4605,3 mm,Green,562,,575,4,6,,10,,,,,2.4,3,60,Standard,
TLHG4900,3 mm,Green,562,,575,16,37,,10,,,,,2.4,3,16,Standard,
TLHG5420,5 mm,Green,562,570,575,6.3,20,,10,,,,,2.1,2.4,25,Standard,
TLHG5420-KSZ,5 mm,Green,562,570,575,6.3,20,,10,,,,,2.1,2.4,25,Standard,
TLHG6420,5 mm,Green,562,570,575,6.3,20,,10,,,,,2.1,2.4,25,Standard,
TLHG6420-CSZ,5 mm,Green,562,570,575,6.3,20,,10,,,,,2.1,2.4,25,Standard,
TLHK4200,3 mm,Red,,630,,25,100,,10,,,,,1.9,2.6,22,Standard,
TLHK42S1T2,3 mm,Red,,630,,180,,450,20,,,,,1.9,2.6,22,Standard,
TLHK4400L,3 mm,Red,626,630,639,16,70,,10,,,,,1.9,2.6,30,Standard,
TLHK44R1S2,3 mm,Red,,630,,112,180,280,20,,,,,1.9,2.6,30,Standard,
TLHK4600,3 mm,Red,,630,,6.3,15,,10,,,,,1.9,2.6,60,Standard,
TLHK46Q1R2,3 mm,Red,,630,,71,,180,20,,,,,2.0,2.6,60,Standard,
TLHK5100,5 mm,Red,626,630,639,320,1400,,20,,,,,2,2.6,9,Standard,
TLHK5800,5 mm,Red,,630,,1000,5500,,20,,,,,1.9,2.6,4,Standard,
TLHO4200,3 mm,Soft orange,598,,611,4,10,,10,,,,,2.4,3,22,Standard,
TLHO4201,3 mm,Soft orange,598,,611,10,18,,10,,,,,2.4,3,22,Standard,
TLHO4400,3 mm,Soft orange,598,,611,1.6,13,,10,,,,,2.4,3,30,Standard,
TLHR4200,3 mm,Red,612,,625,4,8,,10,,,,,2,3,22,Standard,
TLHR4205,3 mm,Red,612,,625,10,15,,10,,,,,2,3,22,Standard,
TLHR4400,3 mm,Red,612,,625,1.6,13,,10,,,,,2,3,30,Standard,
TLHR4401,3 mm,Red,612,,625,2.5,14,,10,,,,,2,3,30,Standard,
TLHR4405,3 mm,Red,612,,625,6.3,15,,10,,,,,2,3,30,Standard,
TLHR4600,3 mm,Red,612,,625,1,4,,10,,,,,2,3,60,Standard,
TLHR4605,3 mm,Red,612,,625,2.5,6,,10,,,,,2,3,60,Standard,
TLHR4900,3 mm,Red,612,,625,6.3,25,,10,,,,,2,3,16,Standard,
TLHR5200,5 mm,Red,612,,630,10,50,,10,,,,,2,3,14,Standard,
TLHR5400,5 mm,Red,612,,630,1.6,10,,10,,,,,2,3,30,Standard,
TLHR5401,5 mm,Red,612,,630,4,12,,10,,,,,2,3,30,Standard,
