Part Number▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat 25 °C(V)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
VS-P100 Series,Enlarge,25,85,25,400,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,600,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,800,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1000,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1200,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,400,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,600,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,800,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1000,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1200,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,400,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,600,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,800,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1000,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93754.png
VS-P100 Series,Enlarge,25,85,25,1200,357,375,1.35,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93754.png
VS-P400 Series,Enlarge,40,80,,400,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,600,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,800,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1000,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1200,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge common cathode",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,400,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,600,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,800,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1000,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1200,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, hybrid bridge doubler connection",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,400,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,600,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,800,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1000,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93755.png
VS-P400 Series,Enlarge,40,80,,1200,385,400,1.4,-40 to +125,200,PACE-PAK (D-19),"Single phase, all SCR bridge",image/modules/thyristor-modules/93755.png
VS-T..RIA Series,Enlarge,50,70,80,100,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,100,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,100,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,200,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,200,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,200,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,400,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,400,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,400,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,600,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,600,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,600,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,800,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,800,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,800,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,1000,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,1000,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,1000,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,50,70,80,1200,1310,1370,1.60,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,70,70,110,1200,1660,1740,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-T..RIA Series,Enlarge,90,70,141,1200,1780,1870,1.55,-40 to +125,500,D-55 (T-module),Single SCR,image/modules/thyristor-modules/93756.png
VS-TA160SA120,Enlarge,158,75,,1200,1390,1455,1.45,-40 to +125,1000,SOT-227,Single thyristor,image/modules/thyristor-modules/95955.png
VS-TA60DA160,Enlarge,60,110,,1600,850,890,1.50,-40 to +150,1000,SOT-227,"Two thyristors, back to back",image/modules/thyristor-modules/96173.png
"VS-VSK.136..PbF, VS-VSK.142..PbF, VS-VSK.162..",Enlarge,135,85,300,400,3200,3360,1.57,-40 to +125,1000,INT-A-PAK,Two SCRs doubler circuit,image/modules/thyristor-modules/94513.png
"VS-VSK.136..PbF, VS-VSK.142..PbF, VS-VSK.162..",Enlarge,135,85,300,800,3200,3360,1.57,-40 to +125,1000,INT-A-PAK,Two SCRs doubler circuit,image/modules/thyristor-modules/94513.png
"VS-VSK.136..PbF, VS-VSK.142..PbF, VS-VSK.162..",Enlarge,135,85,300,1200,3200,3360,1.57,-40 to +125,1000,INT-A-PAK,Two SCRs doubler circuit,image/modules/thyristor-modules/94513.png
"VS-VSK.136..PbF, VS-VSK.142..PbF, VS-VSK.162..",Enlarge,135,85,300,1400,3200,3360,1.57,-40 to +125,1000,INT-A-PAK,Two SCRs doubler circuit,image/modules/thyristor-modules/94513.png
