Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
2N7002K,Enlarge,Single,SOT-23,N,60,20,,,,,,4,,,2,0.4,,,,0.3,0.35,1,,image/mosfets/71333.png
IRF510,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,5.6,43,2,,image/mosfets/91015.png
"IRF510S, SiHF510S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,5.6,43,2,,image/mosfets/91016.png
IRF520,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.27,,16,4.4,7.7,9.2,60,2,,image/mosfets/91017.png
"IRF520S, SiHF520S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.27,,16,4.4,7.7,9.2,60,2,,image/mosfets/91018.png
IRF530,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.16,,26,5.5,11,14,88,2,,image/mosfets/91019.png
"IRF530S, SiHF530S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.16,,26,5.5,11,14,88,2,,image/mosfets/91020.png
IRF540,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.077,,72,11,32,28,150,2,,image/mosfets/91021.png
"IRF540S, SiHF540S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.077,,72,11,32,28,150,2,,image/mosfets/91022.png
IRF610,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,3.3,36,2,,image/mosfets/91023.png
"IRF610S, SiHF610S, IRF610L, SiHF610L",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,3.3,36,2,,image/mosfets/91024.png
IRF620,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.8,,14,3,7.9,5.2,50,2,,image/mosfets/91027.png
"IRF620S, SiHF620S",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.8,,14,3,7.9,5.2,50,2,,image/mosfets/91028.png
IRF630,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.4,,43,7,23,9,74,2,,image/mosfets/91031.png
"IRF630S, SiHF630S",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.4,,43,7,23,9,74,2,,image/mosfets/91032.png
IRF634,Enlarge,Single,TO-220AB,N,250,20,,,,,,,,,0.45,,41,6.5,22,8.1,74,2,,image/mosfets/91034.png
"IRF634S, SiHF634S",Enlarge,Single,D2PAK (TO-263),N,250,20,,,,,,,,,0.45,,41,6.5,22,8.1,74,2,,image/mosfets/91035.png
"IRF640, SiHF640",Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.18,,70,13,39,18,125,2,,image/mosfets/91036.png
"IRF640S, SiHF640S, SiHF640L",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.18,,70,13,39,18,130,2,,image/mosfets/91037.png
"IRF640S, SiHF640S, SiHF640L",Enlarge,Single,I2PAK (TO-262),N,200,20,,,,,,,,,0.18,,70,13,39,18,130,2,,image/mosfets/91037.png
IRF644,Enlarge,Single,TO-220AB,N,250,20,,,,,,,,,0.28,,68,11,35,14,125,2,,image/mosfets/91039.png
"IRF644S, SiHF644S",Enlarge,Single,D2PAK (TO-263),N,250,20,,,,,,,,,0.28,,68,11,35,14,125,2,,image/mosfets/91040.png
IRF710,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,3.6,,17,3.4,8.5,2,36,2,,image/mosfets/91041.png
"IRF710S, SiHF710S",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,3.6,,17,3.4,8.5,2,36,2,,image/mosfets/91042.png
IRF720,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91043.png
"IRF720S, SiHF720S, IRF720L, SiHF720L",Enlarge,Single,I2PAK (TO-262),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91044.png
"IRF720S, SiHF720S, IRF720L, SiHF720L",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91044.png
IRF730,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,1,,38,5.7,22,5.5,74,2,,image/mosfets/91047.png
IRF730A,Enlarge,Single,TO-220AB,N,400,30,,,,,,,,,1,,22,5.8,9.3,5.5,74,2,,image/mosfets/91045.png
"IRF730AS, SiHF730AS, IRF730AL, SiHF730AL",Enlarge,Single,I2PAK (TO-262),N,400,30,,,,,,,,,1,,22,5.8,9.3,5.5,74,2,,image/mosfets/91046.png
