Part Number▲▼(all)BPW24RK857PEK857PHT330P6T337P6T1070PT1090P6T1110P6T1112PT1113PT1120PT1170PT1172PT1180PT1187PT1610P6T1670P6T1677PT1678PT5096PTEMD1000TEMD1020TEMD1030TEMD1040TEMD5010X01TEMD5020X01TEMD5080X01TEMD5110X01TEMD5120X01TEMD5510FX01TEMD6010FX01TEMD6200FITX01TEMD6200FX01TEMD7000ITX01TEMD7000X01TEMD7100ITX01TEMD7100X01TEMT1000TEMT1020TEMT1030TEMT1040TEMT6000X01TEMT6200FX01TEMT7000X01TEMT7100ITX01TEMT7100X01VBP104FASVBP104FASRVBP104SVBP104SRVBPW34FASVBPW34FASRVBPW34SVBPW34SRVEMD1060X01VEMD1160X01VEMD2000X01VEMD2003X01VEMD2020X01VEMD2023SLX01VEMD2023X01VEMD2500X01VEMD2503X01VEMD2520X01VEMD2523SLX01VEMD2523X01VEMD2704VEMD3160FX01VEMD4010X01VEMD4010X02VEMD4060X02VEMD4080X02VEMD4110X01VEMD4110X02VEMD4160X02VEMD4200FX01VEMD5010X01VEMD5060X01VEMD5080X01VEMD5110X01VEMD5160X01VEMD5510CVEMD5510CFVEMD5510FX01VEMD6010X01VEMD6060X01VEMD6110X01VEMD6160X01VEMD8080VEMD8081VEMD8082VEMD8130VEMD10940FVEMD10940FX01VEMT2000X01VEMT2003X01VEMT2020X01VEMT2023SLX01VEMT2023X01VEMT2500X01VEMT2503X01VEMT2520X01VEMT2523SLX01VEMT2523X01VEMT3700VEMT3700FVEMT4700VEMT4700F,Product Image,"Device Type▲▼(all)4-Quadrant Silicon PIN PhotodiodeAmbient Light SensorAmbient Light Sensor in 0805 PackageSilicon NPN PhototransistorSilicon NPN Phototransistor, RoHS-CompliantSilicon Phototransistor in 0805 PackageSilicon PIN PhotodiodeSilicon PIN Photodiode, RoHS Compliant, Released for Lead (Pb)-free Reflow Soldering, AEC-Q101 ReleasedSilicon PIN Photodiode, RoHS-Compliant",Package Type▲▼(all)chipleadedsurface mountsurface-mount,Package Form▲▼(all)08050805 top view1206Axial leadschipChipGullwingPLCC-2PLCC-3Reverse gullwingSide viewTO-18Top viewYoke,Package Dimensions L x W x H(mm)▲▼(all)∅ 4.70.39 x 0.39 x 0.1850.52 x 0.52 x 0.1850.67 x 0.3 x 0.280.67 x 0.67 x 0.280.72 x 0.72 x 0.20.72 x 0.72 x 0.220.72 x 0.72 x 0.281.17 x 1.17 x 0.281.47 x 1.07 x 0.282 x 1.25 x 0.72 x 1.25 x 0.852.0 x 1.8 x 0.62.3 x 2.3 x 2.82.3 x 2.3 x 2.552.3 x 2.55 x 2.32.37 x 2.37 x 0.282.5 x 2 x 2.72.97 x 2.97 x 0.283 x 2 x 13.05 x 2.1 x 0.283.5 x 2.8 x 1.754 x 2 x 1.054.72 x 4.72 x 0.754.8 x 2.5 x 0.54.8 x 2.5 x 0.485 x 4 x 0.95 x 4.24 x 1.126.4 x 3.9 x 1.27.5 x 5.3 x 4.0,Peak Wavelength λp(nm)▲▼(all)540550560570800810820830840850860870880890900910920940950960970,Spectral Bandwidth(1)(nm)▲▼(all)0.48 350 to 1100350 to 1070350 to 1100350 to 1120380 to 1070390 to 800400 to 660420 to 620430 to 610430 to 700430 to 1100440 to 620440 to 700440 to 800450 to 610450 to 1080470 to 1090480 to 1030480 to 1080540 to 960550 to 1040580 to 1040580 to 1070590 to 1010600 to 1040610 to 1040610 to 1080620 to 1000640 to 1060640 to 1070660 to 1050690 to 1050700 to 1070710 to 1100730 to 960730 to 1000740 to 1040750 to 1010750 to 1050780 to 1050790 to 970790 to 1050800 to 1050860 to 1030870 to 1050,Output Current(2)(µA)▲▼(all)0.0150.040.070.1380.250.480.590.60.660.711.41.51.61.81.952.32.42.93578.58.79.510122325262833354044454850556065 to 750225 to 675500270060007000,Angle of Half Sensitivity φ▲▼(all)10121524354555565758606567707585,Photo Sensitive Area(mm2)▲▼(all)0.0530.0550.230.250.270.340.3750.420.850.881.061.512.24.44.65.45.56.07.57.7,Image path
BPW24R,Enlarge,"Silicon PIN Photodiode, RoHS-Compliant",leaded,TO-18,∅ 4.7,940,610 to 1040,60,12,0.88,image/photo-detectors/surface-mount-devices/81520.png
K857PE,Enlarge,4-Quadrant Silicon PIN Photodiode,surface-mount,Top view,4.72 x 4.72 x 0.75,840,690 to 1050,8.5,85,,image/photo-detectors/surface-mount-devices/80136.png
K857PH,Enlarge,Silicon PIN Photodiode,surface-mount,Top view,4.72 x 4.72 x 0.75,950,710 to 1100,10,10,,image/photo-detectors/surface-mount-devices/80279.png
T1070P,Enlarge,Silicon NPN Phototransistor,chip,chip,0.72 x 0.72 x 0.22,570,440 to 800,50,60,0.25,image/photo-detectors/surface-mount-devices/81119.png
T1090P6,Enlarge,Silicon NPN Phototransistor,chip,chip,0.52 x 0.52 x 0.185,840,620 to 1000,65 to 750,60,,image/photo-detectors/surface-mount-devices/84269.png
T1110P6,Enlarge,Silicon PIN Photodiode,chip,Chip,2.97 x 2.97 x 0.28,940,430 to 1100,55,60,7.5,image/photo-detectors/surface-mount-devices/81122.png
T1112P,Enlarge,Silicon PIN Photodiode,chip,Chip,3.05 x 2.1 x 0.28,970,640 to 1070,44,60,5.5,image/photo-detectors/surface-mount-devices/84260.png
T1113P,Enlarge,Silicon PIN Photodiode,chip,Chip,2.97 x 2.97 x 0.28,960,660 to 1050,55,60,7.5,image/photo-detectors/surface-mount-devices/84261.png
T1120P,Enlarge,Silicon PIN Photodiode,chip,Chip,2.37 x 2.37 x 0.28,940,430 to 1100,35,60,4.4,image/photo-detectors/surface-mount-devices/81121.png
T1170P,Enlarge,Silicon PIN Photodiode,chip,chip,1.17 x 1.17 x 0.28,920,600 to 1040,7,60,0.88,image/photo-detectors/surface-mount-devices/84247.png
T1172P,Enlarge,Silicon PIN Photodiode,chip,Chip,1.47 x 1.07 x 0.28,960,640 to 1060,8.7,60,1.06,image/photo-detectors/surface-mount-devices/84262.png
T1180P,Enlarge,Silicon PIN Photodiode,chip,Chip,0.67 x 0.3 x 0.28,810,590 to 1010,0.59,60,0.055,image/photo-detectors/surface-mount-devices/84246.png
T1187P,Enlarge,Silicon PIN Photodiode,chip,Chip,0.67 x 0.3 x 0.28,800,580 to 1070,0.66,60,0.053,image/photo-detectors/surface-mount-devices/84263.png
T1610P6,Enlarge,Silicon PIN Photodiode,chip,Chip,2.97 x 2.97 x 0.28,560,390 to 800,2.9,60,7.7,image/photo-detectors/surface-mount-devices/80322.png
T1670P6,Enlarge,Silicon PIN Photodiode,chip,Chip,0.72 x 0.72 x 0.28,560,390 to 800,0.138,60,0.27,image/photo-detectors/surface-mount-devices/80323.png
T1677P,Enlarge,Silicon PIN Photodiode,chip,Chip,0.72 x 0.72 x 0.28,570,430 to 700,0.015,60,0.27,image/photo-detectors/surface-mount-devices/84266.png
T1678P,Enlarge,Silicon PIN Photodiode,chip,Chip,0.72 x 0.72 x 0.2,570,440 to 700,0.015,60,0.34,image/photo-detectors/surface-mount-devices/84265.png
T330P6,Enlarge,Silicon PIN Photodiode,chip,Chip,0.67 x 0.67 x 0.28,900,580 to 1040,1.95,60,,image/photo-detectors/surface-mount-devices/80006.png
T337P6,Enlarge,Silicon PIN Photodiode,chip,Chip,0.67 x 0.67 x 0.28,970,610 to 1080,2.3,60,0.23,image/photo-detectors/surface-mount-devices/84259.png
T5096P,Enlarge,Silicon NPN Phototransistor,chip,Chip,0.39 x 0.39 x 0.185,910,480 to 1080,,60,,image/photo-detectors/surface-mount-devices/84190.png
TEMD1000,Enlarge,"Silicon PIN Photodiode, RoHS-Compliant",surface-mount,Reverse gullwing,2.5 x 2 x 2.7,940,790 to 1050,10,15,0.23,image/photo-detectors/surface-mount-devices/81564.png
TEMD1020,Enlarge,"Silicon PIN Photodiode, RoHS-Compliant",surface-mount,Gullwing,2.5 x 2 x 2.7,940,790 to 1050,10,15,0.23,image/photo-detectors/surface-mount-devices/81564.png
