Part Number▲▼(all)SIC431SiC437ASiC437BSiC437CSiC437DSiC438ASiC438BSiC438CSiC438DSiC448SiC450SiC451SiC453SiC454SiC461SiC462SiC463SiC464SiC466SiC467SiC468SiC469SiC471SiC472SiC473SiC474SiC476SiC477SiC478SiC479SiP12109,"Description▲▼(all)2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator4 A, 4.5 V to 15 V input, 1.5 MHz synchronous buck regulator4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator4.5 V to 20 V input 12 A microBUCK DC/DC converter with PMBus4.5 V to 20 V input 15 A microBUCK DC/DC converter with PMBus4.5 V to 20 V input 25 A microBUCK DC/DC converter with PMBus4.5 V to 20 V input 40 A microBUCK DC/DC converter with PMBus5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator6 A, 4.5 V to 45 V input, 100 kHz to 2 MHz, synchronous buck regulator6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator10 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator10 A, 4.5 V to 60 V input,100 kHz to 2 MHz,synchronous microBUCKregulator12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias12 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator12 A, 4.5 V to 55 V input,100 kHz to 2 MHz,synchronous microBUCKregulator24A,3V to 24V in,up to 1MHz,Synch. Buck Regulator",VinMin.(V)▲▼(all)34.5,VinMax.(V)▲▼(all)15202428455560,VoutMin(V)▲▼(all)0.30.60.8,VoutMax(V)▲▼(all)0.9 x VIN0.92 x VIN5.5121520,Continuous Output Current(A)▲▼(all)234568101215242540,Switch Freq Min.(kHz)▲▼(all)100200300,Switch Freq Max.(kHz)▲▼(all)100015002000,Pre Bias Oper.(Y/N)▲▼(all)YYesyes,Internal Bias Regulator▲▼(all)NoYYesyes,Compen-sation(Y/N)▲▼(all)ExternalInternalinternal,Enable (Y/N)▲▼(all)YYesyes,PGOOD(Y/N)▲▼(all)YYesyes,Over Current Protection (Y/N)▲▼(all)FixedYYesyes,"Protection▲▼(all)OVP, OCP, OTP, SCP, UVLOOVP, OCP, UVP/SCP, OTP, UVLO",Light Load Mode▲▼(all)Power savePowersaveSelectable powersaveSelectable powersave / ultrasonicSelectable Powersave/UltrasonicSelectable ultrasonicYesyes,Peak Eff.(%)▲▼(all)95969798,Package▲▼(all)PowerPak MLP 44-24LPowerPAK MLP29-55PowerPAK MLP34-57PowerPAK MLP44-24LPowerPAK MLP55-27LQFN16-33G,"Package Size (W,L,H)(mm)▲▼(all)3.0 x 3.0 x 0.84 x 4 x 0.754.0 x 4.0 x 0.755 x 5 x 0.755.0 x 5.0 x 0.755.0 x 7.0 x 0.75",Image path
SIC431,"24A,3V to 24V in,up to 1MHz,Synch. Buck Regulator",3,24,0.6,20,24,300,1000,Y,Y,Internal,Y,Y,Y,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable Powersave/Ultrasonic,97,PowerPak MLP 44-24L,4.0 x 4.0 x 0.75,
SiC437A,"12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias",4.5,28,0.6,0.9 x VIN,12,300,1000,Yes,Yes,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable ultrasonic,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC437B,"12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias",4.5,28,0.6,0.9 x VIN,12,300,1000,Yes,Yes,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable powersave,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC437C,"12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias",3,28,0.6,0.9 x VIN,12,300,1000,Yes,No,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable ultrasonic,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC437D,"12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias",3,28,0.6,0.9 x VIN,12,300,1000,Yes,No,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable powersave,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC438A,"8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias",4.5,28,0.6,0.9 x VIN,8,300,1000,Yes,Yes,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable ultrasonic,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC438B,"8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias",4.5,28,0.6,0.9 x VIN,8,300,1000,Yes,Yes,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable powersave,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC438C,"8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias",3,28,0.6,0.9 x VIN,8,300,1000,Yes,No,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable ultrasonic,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC438D,"8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias",3,28,0.6,0.9 x VIN,8,300,1000,Yes,No,Internal,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable powersave,97,PowerPAK MLP44-24L,4 x 4 x 0.75,
SiC448,"6 A, 4.5 V to 45 V input, 100 kHz to 2 MHz, synchronous buck regulator",4.5,45,0.8,0.92 x VIN,6,100,2000,Yes,Yes,External,Yes,Yes,Yes,"OVP, OCP, UVP/SCP, OTP, UVLO",Selectable powersave / ultrasonic,98,PowerPAK MLP55-27L,5 x 5 x 0.75,
SiC450,4.5 V to 20 V input 40 A microBUCK DC/DC converter with PMBus,4.5,20,0.3,12,40,300,1500,yes,yes,internal,yes,yes,yes,"OVP, OCP, UVP/SCP, OTP, UVLO",yes,96,PowerPAK MLP34-57,5.0 x 7.0 x 0.75,
SiC451,4.5 V to 20 V input 25 A microBUCK DC/DC converter with PMBus,4.5,20,0.3,12,25,300,1500,yes,yes,internal,yes,yes,yes,"OVP, OCP, UVP/SCP, OTP, UVLO",yes,96,PowerPAK MLP34-57,5.0 x 7.0 x 0.75,
