"Part Number▲▼(all)LH1262CAC, LH1262CACTR, LH1262CBLH1500AAB, LH1500AABTR, LH1500ATLH1501BAB, LH1501BABTR, LH1501BTLH1502BAC, LH1502BACTR, LH1502BBLH1505AB, LH1505AAC, LH1505AACTRLH1510AAB, LH1510AABTR, LH1510ATLH1511BAB, LH1511BABTR, LH1511BTLH1512BAC, LH1512BACTR, LH1512BBLH1518AAB, LH1518AABTR, LH1518ATLH1520AB, LH1520AAC, LH1520AACTRLH1522AB, LH1522AAC, LH1522AACTRLH1525AT, LH1525AAB, LH1525AABTRLH1526AB, LH1526AAC, LH1526AACTRLH1540AAB, LH1540AABTR, LH1540ATLH1546ADF, LH1546ADFTRLH1546AEF, LH1546AEFTRLH1546AT, LH1546AABTRVO1263AAC, VO1263AACTR, VO1263ABVO1400AEFVO14642AT, VO14642AABTRVOM1271VOR1121A6, VOR1121B6VOR1142B4VOR1142B6, VOR1142A6VOR1142M4VOR2121A8, VOR2121B8VOR2142A8, VOR2142B8VORA1010M4",Product Image,"Package▲▼(all)SMD-4SMD-6, DIP-6SMD-8, DIP-8SOP-4","Output▲▼(all)1 Form A1 Form A/B, C1 Form BMOSFET Driver",Load voltage (max.)(V)▲▼(all)60100200250350400,Load current (max.)(mA)▲▼(all)1001201251301401502002502703003503702000,I Fon (max.)(mA)▲▼(all)0.923.2n/a,R ON (max.)(Ω)▲▼(all)0.2556152025273536,R OFF (typ.)(GΩ)▲▼(all)1.48505000n/a,Turn-on time max.(ms)▲▼(all)0.250.50.812346,Turn-off time max.(ms)▲▼(all)0.150.20.50.81.5234,VISOmax.VRMS(V)▲▼(all)37505300,"Safety Standard▲▼(all)UL,UL, cUL,UL, cUL, BSI, FIMKOUL, cUL, FIMKOUL, cUL, VDEUL, cUL, VDE,UL, cUL, VDE, BSI, CQC, FIMKOUL, cUL, VDE, BSI, FIMKOUL, cUL, VDE, FIMKOUL, FIMKO",Image path
"LH1262CAC, LH1262CACTR, LH1262CB",Enlarge,"SMD-8, DIP-8",MOSFET Driver,,,,,,,,5300,"UL, cUL, VDE, BSI, CQC, FIMKO",image/solid-state-relays/83802.png
"LH1500AAB, LH1500AABTR, LH1500AT",Enlarge,"SMD-6, DIP-6",1 Form A,350,250,2,27,5000,2,2,5300,"UL, cUL, VDE, FIMKO",image/solid-state-relays/83804.png
"LH1501BAB, LH1501BABTR, LH1501BT",Enlarge,"SMD-6, DIP-6",1 Form B,350,200,n/a,25,1.4,3,3,3750,"UL,",image/solid-state-relays/83805.png
"LH1502BAC, LH1502BACTR, LH1502BB",Enlarge,"SMD-8, DIP-8","1 Form A/B, C",350,150,2,25,5000,6,3,3750,"UL, FIMKO",image/solid-state-relays/83806.png
"LH1505AB, LH1505AAC, LH1505AACTR",Enlarge,"SMD-8, DIP-8",1 Form A,250,130,2,20,5000,4,4,5300,"UL, cUL, VDE, FIMKO",image/solid-state-relays/83809.png
"LH1510AAB, LH1510AABTR, LH1510AT",Enlarge,"SMD-6, DIP-6",1 Form A,200,350,2,15,5000,2,2,5300,"UL, cUL, VDE, FIMKO",image/solid-state-relays/83810.png
"LH1511BAB, LH1511BABTR, LH1511BT",Enlarge,"SMD-6, DIP-6",1 Form B,200,300,n/a,15,1.4,3,3,3750,"UL,",image/solid-state-relays/83811.png
"LH1512BAC, LH1512BACTR, LH1512BB",Enlarge,"SMD-8, DIP-8","1 Form A/B, C",200,200,2,15,5000,3,3,3750,"UL, FIMKO",image/solid-state-relays/83812.png
"LH1518AAB, LH1518AABTR, LH1518AT",Enlarge,"SMD-6, DIP-6",1 Form A,250,300,2,20,5000,3,3,5300,"UL, cUL, VDE, FIMKO",image/solid-state-relays/83816.png
"LH1520AB, LH1520AAC, LH1520AACTR",Enlarge,"SMD-8, DIP-8",1 Form A,350,140,2,27,5000,2,2,5300,"UL, cUL, VDE, BSI, FIMKO",image/solid-state-relays/83818.png
