Series▲▼(all)Braking ResistorCS61CS62CS63CS65CS66CSFRCSPRNTCALUG…Position Sensors and Variable ResistorsSpecial Purpose Wirewound Resistors;Product Image▲▼(all)EnlargeEnlargeEnlargeEnlargeEnlargeEnlargeEnlargeEnlargeEnlargeEnlargeEnlarge;Description▲▼(all)Custom Capabilities Lead Formed, High Powered, Tab Terminations, Quick Connect Wirewound ResistorsCustom Capabilities NTC LUG Ring TongueCustom Capabilities Position Sensors and Variable ResistorsCustomer Special Edgewound Resistor (CS63), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, EDG, EDGF, EDGUCustomer Special Metal Case Resistor (CS65), Wirewound Resistors, Industrial Power, Tubular, Metal Case, MCR, MCRLCustomer Special Oval Resistor (CS66), Wirewound Resistors, Industrial Power, Tubular, Oval, Flat, OVSFCustomer Special Resistors in Enclosures (CSPR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Enclosure, EDG, RD, RBCustomer Special Resistors Mounted on Frames (CSFR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Frame Mounted, EDG, RD, RBCustomer Special Ribwound Resistor (CS61), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RBEF, RBSF, RBEA, RBSACustomer Special Roundwire Resistor (CS62), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RDEF, RDSF, RDEA, RDSACustomized Stainless Steel Braking Resistor;Technology▲▼(all)Metal Plate, Metal GridNTC ThermistorsSensors and PotentiometersWirewound;Contact Information▲▼(all)mcbfixedresistors@vishay.comnlr@vishay.comsferpottrimmers@vishay.com or sferprecisionpot@vishay.comvishaymilwaukeeresistor@vishay.comww2aresistors@vishay.com;Image path
NTCALUG…;Enlarge;Custom Capabilities NTC LUG Ring Tongue;NTC Thermistors;nlr@vishay.com;
Braking Resistor;Enlarge;Customized Stainless Steel Braking Resistor;Metal Plate, Metal Grid;mcbfixedresistors@vishay.com;
Position Sensors and Variable Resistors;Enlarge;Custom Capabilities Position Sensors and Variable Resistors;Sensors and Potentiometers;sferpottrimmers@vishay.com or sferprecisionpot@vishay.com;
Special Purpose Wirewound Resistors;Enlarge;Custom Capabilities Lead Formed, High Powered, Tab Terminations, Quick Connect Wirewound Resistors;Wirewound;ww2aresistors@vishay.com;
CS61;Enlarge;Customer Special Ribwound Resistor (CS61), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RBEF, RBSF, RBEA, RBSA;Wirewound;vishaymilwaukeeresistor@vishay.com;
CS62;Enlarge;Customer Special Roundwire Resistor (CS62), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RDEF, RDSF, RDEA, RDSA;Wirewound;vishaymilwaukeeresistor@vishay.com;
CS63;Enlarge;Customer Special Edgewound Resistor (CS63), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, EDG, EDGF, EDGU;Wirewound;vishaymilwaukeeresistor@vishay.com;
CS65;Enlarge;Customer Special Metal Case Resistor (CS65), Wirewound Resistors, Industrial Power, Tubular, Metal Case, MCR, MCRL;Wirewound;vishaymilwaukeeresistor@vishay.com;
CS66;Enlarge;Customer Special Oval Resistor (CS66), Wirewound Resistors, Industrial Power, Tubular, Oval, Flat, OVSF;Wirewound;vishaymilwaukeeresistor@vishay.com;
CSPR;Enlarge;Customer Special Resistors in Enclosures (CSPR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Enclosure, EDG, RD, RB;Wirewound;vishaymilwaukeeresistor@vishay.com;
CSFR;Enlarge;Customer Special Resistors Mounted on Frames (CSFR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Frame Mounted, EDG, RD, RB;Wirewound;vishaymilwaukeeresistor@vishay.com;
