Series▲▼;Product Image;Type▲▼;Description▲▼;Technology▲▼;Resistance (min)(Ω)▲▼;Resistance (max)(Ω)▲▼;TCR Absolute(ppm/°C)▲▼;TCR Tracking(ppm/°C)▲▼;Absolute Tolerance(%)▲▼;Ratio Tolerance(%)▲▼;Power(W)▲▼;Package Type▲▼;Case (EIA & Mil)▲▼;Image path
100-267;Enlarge;Resistor Networks;Decade Divider, Single In-Line, Thin Film Divider, Through Hole Resistor Network;Thin Film;100;1 M;25;5;0.1;0.01;0.100;SIP;n/a;image/networks-and-arrays/60044.png
ACAS 0606 AT, ACAS 0612 AT - Precision;Enlarge;Resistor Arrays;Precision Thin Film Chip Resistor Array Superior Moisture Resistivity;Thin Film;47;150 K;10;5;0.1;0.05;0.125;Arrays / leadless;0606;image/networks-and-arrays/28770.png
ACAS 0612 - Precision;Enlarge;Resistor Arrays;Precision Thin Film Chip Resistor Array;Thin Film;47;221 K;10;5;0.1;0.05;0.1;Arrays / leadless;0612;image/networks-and-arrays/28751.png
ACAS 0612 - Professional;Enlarge;Resistor Arrays;Professional Thin Film Chip Resistor Array;Thin Film;47;221 K;25;n/a;0.5;n/a;0.1;Arrays / leadless;0612;image/networks-and-arrays/28754.png
AORN;Enlarge;Resistor Networks;Molded, 50 mil Pitch, Dual-In-Line Thin Film Resistor, Precision Automotive, AEC-Q200 Qualified, Surface Mount Network;Thin Film;1 K;100 K;25;5;0.1;0.05;0.1;SOIC (molded);n/a;image/networks-and-arrays/60127.png
CC7, CCB;Enlarge;Resistor Networks;Thin Film Resistor Divider Network on Alumina, User Trimmable;Thin Film;100;50 K;10;n/a;0.1;n/a;0.1;n/a;0505;image/networks-and-arrays/61012.png
CCC;Enlarge;Resistor Networks;Thin Film, 1010 Center-Tapped Resistor Divider Network on Alumina;Thin Film;100;1 M;10;n/a;0.1;n/a;0.4;n/a;1010;image/networks-and-arrays/61010.png
CLA, CLB;Enlarge;Resistor Arrays;Wire Bondable Thin Film Resistor Arrays;Thin Film;20;1 M;25;n/a;0.1;n/a;0.050;Arrays / leadless;n/a;image/networks-and-arrays/61009.png
CNS 471;Enlarge;Resistor Networks;Decade Divider, Single-In-Line Through Hole Thin Film Resistor Networks (Standard);Thin Film;100;10 M;25;2.5;0.03;0.1;0.1;SIP;n/a;image/networks-and-arrays/60043.png
CS;Enlarge;Resistor Networks;Ceramic Sandwich, Single-In-Line Thin Film Resistor, Through Hole Network (Low Profile 0.20 Custom);Thin Film;20;500 K;50;5;0.05;0.02;0.1;Ceramic sandwich;n/a;image/networks-and-arrays/60081.png
CS 33;Enlarge;Resistor Networks;Wirebondable Dual Value Thin Film Chip Resistor Networks, Center Tap (High Ohmic Value);Thin Film;10 K;10 M;50;5;0.5;0.5;0.125;Wirebondable;0303;image/networks-and-arrays/60067.png
