Series▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat ITM(V at A)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
VS-100TPS12L-M3,Enlarge,100,103,157,1200,935,,,-40 to +150,,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/97221.png
VS-100TPS12LHM3,Enlarge,100,103,157,1200,935,,,-40 to +150,,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/97247.png
VS-10RIA Series,Enlarge,10,85,25,1000,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,800,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,600,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,400,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,200,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,100,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10RIA Series,Enlarge,10,85,25,1200,225,240,1.75 at 32,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93689.png
VS-10TTS08-M3,Enlarge,6.5,112,10,800,110,,1.15 at 6.5,-40 to 125,150,TO-220AB 3L,Single SCR,image/thyristors/phase-control-discrete/96285.png
VS-10TTS08S-M3 Series,Enlarge,6.5,112,10,800,110,,1.15 at 6.5,-40 to +125,150,D2PAK (TO-263AB),Single SCR,image/thyristors/phase-control-discrete/96410.png
"VS-110RKI...PbF, VS-111RKI...PbF Series",Enlarge,110,90,172,1200,2080,2180,1.57 at 350,-40 to +140,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94379.png
"VS-110RKI...PbF, VS-111RKI...PbF Series",Enlarge,110,90,172,800,2080,2180,1.57 at 350,-40 to +140,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94379.png
"VS-110RKI...PbF, VS-111RKI...PbF Series",Enlarge,110,90,172,400,2080,2180,1.57 at 350,-40 to +140,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94379.png
VS-12TTS08-M3,Enlarge,8,108,12.5,800,110,,1.2 at 8,-40 to 125,150,TO-220AB 3L,Single SCR,image/thyristors/phase-control-discrete/96286.png
VS-12TTS08HM3,Enlarge,8,108,12.5,800,110,,1.2 at 8,-40 to +125,150,TO-220AB,Single SCR,image/thyristors/phase-control-discrete/96538.png
VS-12TTS08S-M3 Series,Enlarge,8,108,12.5,800,110,,1.2 at 8,-40 to +125,150,D2PAK (TO-263AB),Single SCR,image/thyristors/phase-control-discrete/96411.png
VS-12TTS08SLHM3,Enlarge,8,108,12.5,800,110,,1.2 at 8,-40 to +125,150,D2PAK (TO-263AB),Single SCR,image/thyristors/phase-control-discrete/96121.png
VS-16RIA Series,Enlarge,16,85,35,1000,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,800,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,600,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,400,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,200,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,100,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
VS-16RIA Series,Enlarge,16,85,35,1200,340,360,1.75 at 50,-65 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93695.png
"VS-16TTS08-M3, VS-16TTS12-M3",Enlarge,10,98,16,800,200,,1.4 at 10,-40 to 125,500,TO-220AB 3L,Single SCR,image/thyristors/phase-control-discrete/96287.png
"VS-16TTS08-M3, VS-16TTS12-M3",Enlarge,10,98,16,1200,200,,1.4 at 10,-40 to 125,500,TO-220AB 3L,Single SCR,image/thyristors/phase-control-discrete/96287.png
"VS-16TTS08FP-M3, VS-16TTS12FP-M3",Enlarge,10,70,16,800,200,,1.4 at 10,-40 to 125,500,3L TO-220 FullPAK,Single SCR,image/thyristors/phase-control-discrete/96299.png
"VS-16TTS08FP-M3, VS-16TTS12FP-M3",Enlarge,10,70,16,1200,200,,1.4 at 10,-40 to 125,500,3L TO-220 FullPAK,Single SCR,image/thyristors/phase-control-discrete/96299.png
"VS-16TTS08S-M3, VS-16TTS12S-M3 Series",Enlarge,10,98,16,800,200,,1.4 at 10,-40 to 125,500,D2PAK (TO-263AB),Single SCR,image/thyristors/phase-control-discrete/96412.png
